12837
52 9 21	Eliana Gonzalez
24 1 16	Marilyn Hill
83 5 28	Carley Bowen
90 1 28	Sarah Horan
9 10 2	Andrew Hutchings
54 2 3	Inez Lamb
16 10 14	Jonathan Ruiz
85 10 30	Jonathan Mabry
33 7 5	Nelson Foster
61 3 27	Maryalice Stewart
30 11 24	Lonnie Archer
15 5 28	Jonathan Gonzalez
85 5 2	Howard Kelly
64 5 25	Valerie Hines
63 1 5	Alice Perkins
13 0 24	Zachary Sullivan
79 1 16	Elvina Hutchings
78 4 2	Joanne Evans
69 5 15	Jacqueline Butler
42 0 18	Charles Fleming
52 5 21	Ken Porterfield
8 11 9	Rose Franklin
27 3 0	Khadijah Wagner
20 2 14	Janet Coleman
56 8 18	Carley Johnson
63 11 5	Vera Rodriguez
30 11 27	Earnest Lee
56 1 9	Amanda Wright
54 9 7	Dawne Garcia
39 1 11	Germaine Price
85 6 6	Hugh Parker
83 3 30	Aida Thomas
51 10 5	Samual Hernandez
18 9 24	Hsiu Reed
71 7 3	Martha Barber
25 5 3	Michael Tackett
88 2 21	Lindsay Bowen
77 8 6	Natasha Thompson
86 0 0	Eliana Casey
61 10 21	Casey Coleman
40 11 23	Jorge Bennett
46 1 15	Casey Nunez
60 7 18	Nicholas Steadman
86 1 28	Ken Fortune
90 3 15	Gary Webb
87 4 19	Jack Hardy
51 6 27	Wade Payne
82 10 23	Shanelle Goodrich
67 3 27	Joe Harvey
15 7 18	Raymond Wood
26 11 4	Zada Aaron
64 0 21	Dawne Lewis
79 11 3	Norman Ingram
82 9 22	Wanda Meyer
72 2 9	Aaron Seymore
67 0 7	Jackie Walker
58 6 4	David Copeland
43 1 11	Melissa Bowen
22 8 19	Wayne Hubbard
43 5 10	Steve Carvalho
76 0 22	Wanda Lopez
78 3 17	Spencer Nelson
66 5 18	Helen Archer
13 9 11	Edward Bennett
69 9 0	Dwayne Ball
81 3 4	Erica Wilkins
75 4 5	Judith Hall
38 10 6	Rufus White
69 5 21	Kathleen Hernandez
10 0 14	Germaine Bowling
9 11 25	Aaron Evans
21 11 16	Deborah Edwards
35 9 11	Eloise Thompson
67 6 28	Erica Hill
37 6 25	Stasia Turner
26 6 6	Yuonne Thompson
64 10 21	Pamala Maier
82 0 13	Maryalice Gonzalez
30 6 7	Dorothy Lee
49 6 20	Jenifer Mitchell
17 2 11	David Mitchell
50 0 9	Krissy Wood
49 3 16	Kevin Vargas
82 4 23	Karen Mabry
26 10 20	George Young
66 7 23	Myron Miller
84 0 15	Timmy Gonzales
24 8 6	Gordon Gonzalez
67 10 2	Estelle Hughes
8 2 16	Martin Stokes
34 3 18	Aida Smith
23 2 4	Rebecca Perry
64 5 2	Maria Peterson
33 6 2	Terry Gray
53 5 24	Terry Sanders
40 7 12	Lindsey Graves
34 11 9	Lynn Roland
78 10 30	Joanne Harris
27 6 10	Ryan Humphrey
34 9 28	Cecil Ramirez
67 2 30	Rose Hines
58 5 18	Teresa Bass
31 9 12	Brian Hardy
31 4 15	Nicholas Hampton
17 2 7	Eloise Holloway
20 8 18	Donald Webb
79 5 21	Lila Weaver
36 2 14	Lillian Anderson
54 9 12	Willie Copeland
8 8 3	Eugene Washington
35 8 14	Zachary Webb
45 3 2	Jean Gray
47 4 5	Darrin Huddleston
46 2 26	Dennis Baumann
25 9 26	Oretha Browne
80 5 5	Nicholas Peters
33 0 2	Wilson Watson
13 10 17	Edward Lee
41 6 7	Timmy Price
43 5 12	Dani Walker
69 11 0	Gerard Browne
63 7 16	Jennifer Mitchell
36 8 15	Nicolette Lanham
44 2 22	Sharon Bailey
32 2 26	Lynn Porterfield
35 9 19	Terry Bowling
56 7 26	Melissa Vargas
78 4 8	Jane George
63 4 18	Walter Brown
64 7 19	Cheryl Walters
51 0 25	Alan Davis
88 4 9	Patricia Reed
29 1 0	See Holloway
27 0 27	Brian Rhodes
69 0 19	David Torres
71 0 3	Richard Anderson
46 1 24	Aubrey Hernandez
71 4 1	Clark Roberts
25 1 4	Dennis Aguilar
42 8 14	Melissa Green
70 1 4	Brian Alexander
24 2 19	Krissy Perry
51 0 2	Spencer Ramirez
38 8 4	Alan Diaz
29 10 24	Elijah Webb
73 7 11	Sarah Norman
63 3 25	Krissy Wagner
42 8 28	Claudine Dunn
78 8 15	Barbara Tate
63 9 16	Zachary Cox
61 0 13	Oretha Dunn
59 1 12	Natalie Miller
87 10 7	Terence Reyes
84 10 10	Kevin Holland
40 8 4	Rosie Cooper
26 3 4	Nicolette Whitworth
16 5 1	Zachary Rogers
75 11 8	Rosie Banks
10 6 12	David Holland
65 2 3	Clayton Powell
77 0 12	Natasha Buchanan
86 6 8	Patti Gonzalez
89 9 18	Howard Foster
14 6 16	Donald Moran
20 5 23	Joe Garcia
38 5 20	Dorothy Washington
9 4 9	Kimberly Rhodes
35 11 26	Martin Fleming
82 0 7	Rebecca Graves
86 7 24	Val Martinez
19 0 16	Aida Dennis
58 9 18	Chris Neal
52 1 4	Clarence Wright
46 10 0	Mary Fenton
51 8 8	Ella Coleman
22 5 29	Jacqulyn Gray
58 2 22	Jack Price
58 0 8	Santiago Garcia
76 7 0	Inez Hale
62 1 28	Alejandro Lopez
76 3 24	Jonathan Bennett
17 6 2	George Orosco
66 10 26	Mary Walker
14 3 21	Roger Copeland
52 9 18	Doris Adams
57 9 2	Annie Russell
33 8 25	Raymond Brooks
52 9 11	Susan Cook
52 11 13	Brandon Robinson
90 8 29	Diane Rogers
67 9 13	Deborah Steadman
36 11 21	Alan Bass
63 11 18	Denise Barnes
12 0 21	Jonathan Scott
49 4 14	Nicholas Carr
86 0 3	Stasia Collins
37 8 30	Margaret Cox
72 7 2	Gordon Murphy
52 7 23	Kevin Hamilton
82 0 21	Clayton Stewart
38 8 28	Sharon Wagner
62 3 1	Mary Campbell
28 10 8	Levi Shuman
54 3 6	Susan Wright
30 0 4	Yuonne Perry
17 1 11	Dexter Knight
84 1 5	Jane Bailey
54 7 3	Nancy Barnes
15 1 10	Dorothy Thompson
56 5 18	Stasia Baumann
48 7 7	Nancy Walters
61 5 24	Krissy Sherman
66 2 1	Charlene Doyle
78 4 5	Janice Roy
33 9 8	Catherine Tackett
49 1 12	Ashley Townsend
44 10 16	Alma Carr
31 6 11	Erica Gonzales
89 3 23	Myron Sanchez
39 11 14	Jacqueline Kelly
63 3 28	Robin Baldwin
76 0 5	Casey Hill
19 11 9	Cecil Rivera
29 1 18	Melita Alexander
22 4 9	Carl Barrett
51 9 11	Elijah George
67 10 6	Ashley Harris
10 7 17	Ryan Brown
18 1 15	Kimberly Wheeler
88 11 4	Delaine Long
17 6 28	Jose Harrington
57 6 29	Tammy Vega
79 2 4	Susan Perry
60 2 16	Terry Gray
85 2 18	Dorothy Padilla
57 9 26	Devin Griffin
12 5 30	Anna Bowling
89 5 27	Melissa Morgan
48 3 8	Kevin Hindman
36 0 11	Deborah Harrison
31 6 14	Julie Martinez
48 10 20	Maria Drake
45 6 7	Nancy Butler
35 5 29	Jean Thompson
12 0 27	Khadijah Hill
42 5 11	Patricia Horowitz
59 1 19	Helen Bell
48 6 1	Erica Townsend
73 10 21	Diana Pibbles
65 4 26	Nicholas Hughes
82 7 15	Cheryl Franklin
72 3 3	Anna Young
60 0 22	Joanne Drake
28 9 30	Irene Perry
68 3 23	Patricia Bowen
71 2 19	Helen Goodrich
68 9 2	Angel Franklin
52 4 19	Alan Faison
81 7 25	Dani Edwards
90 10 13	Antoinette King
63 2 20	Dawne Hines
19 1 12	Josphine Harris
45 1 7	Antoinette Hollins
41 1 13	Jack Martinez
21 5 28	Brian Aguilar
79 1 24	Levi Lane
56 4 20	Josphine Lamb
14 4 19	Marilyn Butler
82 4 8	Roy Hughes
78 11 5	Janet Ruiz
65 7 28	Kevin Evans
17 7 13	Joanne Reddick
62 3 6	Germaine White
59 8 15	Inez Doyle
47 10 23	Roger Diaz
59 3 0	Alma Rodriguez
90 4 30	Charles Taylor
62 8 15	Eileen Gonzales
65 6 16	Kelly King
19 5 17	Luz White
66 10 10	Kathleen Baker
17 11 21	Candelaria Weaver
35 8 9	Diana Adams
89 6 18	Marie Vega
58 8 25	Diane Franklin
50 2 25	Kimberly Wheeler
50 6 5	Jeremy Faison
76 6 18	Randee Lee
53 4 30	Christine Aaron
29 2 26	Brian Freeman
82 8 7	Chris Roy
22 8 1	Eugenia Walker
21 5 12	Jennifer Blanton
45 1 8	Angel Cooper
31 7 17	Arthur Hale
88 5 21	Patricia Simpson
26 3 18	Tracy Rivera
50 8 23	Anna Hill
72 5 7	Catherine Huddleston
82 7 22	Kasie Goodrich
79 11 1	Adam Bailey
9 1 2	Sophia James
62 10 3	Margaret Baker
72 8 1	Marie Kelley
79 3 25	Janet Holt
76 5 13	Andre Jones
13 4 23	Jonathan Perkins
10 3 29	Edward Boyle
42 1 8	Cheryl Hill
70 7 19	Marie Henderson
47 10 24	Wilson Fleming
51 4 25	Kevin Cooper
18 5 1	Terence Bennett
60 9 14	Rufus Jenkins
38 9 7	Kathleen Moody
90 10 17	Tracy Butler
55 3 11	Devin Wood
9 2 29	Mary Collins
62 6 25	Stephenie Ruiz
77 3 10	Alice Faison
25 10 1	Eliana Aaron
88 2 8	Bobby Brown
53 8 9	Jean Seymore
42 1 5	Charlene Rogers
83 9 23	Brandon Medina
28 9 5	Willie Seymore
21 0 6	Timmy Ramirez
40 1 11	Judith Russell
65 1 22	Patricia Murphy
74 0 0	Andrew Wilkins
68 7 16	Andres Fortune
54 10 30	Pat Hindman
42 0 12	Wayne Hamilton
43 3 22	Brian Sullivan
79 2 17	Richard Taylor
16 5 17	Ernest Hernandez
50 1 6	Andre Reeves
49 6 0	Andres Johnson
19 3 8	Nicolette Shuman
52 6 26	Joshua Lindsey
71 1 9	Raymond Henderson
43 10 12	Candelaria Carr
55 10 4	Frankie Sterling
85 10 20	Clayton Drake
39 2 9	Kim King
72 7 13	Aaron Richardson
34 10 9	Nicholas Wagner
72 8 27	Natasha Robinson
17 5 11	Rebecca Edwards
13 5 27	Marilyn Williams
43 9 0	Jonathan Stewart
28 9 27	Deborah Coleman
62 1 4	Shrimply Medina
77 10 9	Anya Henderson
31 10 1	Clark Perez
12 3 1	Belinda Whitworth
15 3 23	Eloise Robinson
45 2 8	Valerie Young
55 11 11	Johnny Jones
30 11 6	Deborah Vargas
77 9 0	Laura Reeves
89 10 22	Clarence Collins
30 8 7	Joshua Wilkins
31 7 15	Glennis Fenton
15 0 30	Belinda Ward
51 11 21	Kasie Martinez
76 2 16	Rachel Griffin
27 2 26	Howard Harris
10 8 13	Cheryl Hunt
86 10 4	Mary Hughes
27 6 11	Rosie Flaherty
41 3 15	Hsiu Bowen
38 8 21	Gregory Carter
86 0 8	Catherine Aguilar
9 8 12	Pamala Powell
23 10 25	Judith Wilkins
21 9 28	David Buchanan
85 8 23	Wayne Lewis
59 9 8	Jane Dennis
60 7 4	Kelly Kelly
64 8 14	Annie Campbell
26 11 1	Cheryl Richardson
25 4 5	Cheryl Yoon
35 8 14	Anya Patterson
10 7 6	Shanelle Wright
38 3 27	Sherri Wheeler
71 11 5	Yuonne Bass
25 7 20	Eliana Horan
49 4 10	Ramiro Brown
13 8 22	Rosie Powell
46 6 2	Ella Hutchings
40 7 2	Felipe Harris
85 4 6	Hugh Porterfield
90 3 1	Jacqueline Steadman
68 10 18	Khadijah Gracia
54 3 24	Betty Gray
61 6 21	Hsiu Wheeler
10 11 17	Walter Tate
88 7 22	Shrimply Clark
39 7 21	Maria Willis
23 10 23	Myron Henderson
43 4 8	See Ruiz
42 9 28	Eugene Rhodes
28 11 14	Collen Martinez
14 7 23	Natasha Holland
25 0 10	Antoinette Pibbles
25 4 25	Steve Harris
79 1 24	Marion Green
9 2 19	Denise Gracia
79 6 12	Marshall Martinez
31 6 22	Lindsey Sherman
81 0 21	Dennis Nelson
40 10 28	Yuonne Walters
9 11 25	Lonnie Gonzales
85 6 21	Samual Bailey
60 3 12	Teresa Alvarado
82 3 13	Patti Flynn
76 0 6	Natalie Bailey
56 7 22	Lindsey Simpson
55 8 15	Donald Tackett
46 11 24	Stephenie Hardy
35 2 16	Marjorie Orosco
82 0 29	Nancy Martin
82 11 30	Luz Thompson
8 1 25	Lindsay Goodrich
88 4 30	Valerie Vega
56 0 15	Martha Marsh
42 7 7	Randee Moran
23 10 14	Delaine Butler
43 9 3	Zada Meyer
38 7 15	Germaine Cooper
28 11 24	Sophia Wheeler
89 9 17	Barbara Coleman
41 0 27	Stephenie Allen
41 3 30	Annie Buchanan
22 8 11	Ernest Lane
37 9 5	Terence Grantham
75 2 19	Martha James
45 4 18	Wade Perry
34 4 27	Levi Maier
60 6 25	Michael Green
72 7 25	Teresa Peterson
42 5 18	Oretha Moody
89 2 5	Valerie Stokes
72 3 15	Cynthia Hughes
55 5 4	Lillian Brockman
37 0 16	Aubrey George
79 2 10	Michael Sherman
55 3 27	Kasie Ingram
36 2 12	Jorge Gray
32 3 20	Val Ingram
76 5 0	Sophia Simpson
66 5 21	Charles Barlow
74 11 5	Aubrey Perkins
45 7 5	Shani Murphy
16 0 15	Susan Blanton
34 4 28	George Gonzales
8 6 7	Arthur Lewis
75 6 18	Nicolette Bailey
64 0 27	Dennis Payne
57 10 1	Marshall Marsh
57 4 8	Judith Collins
69 0 25	Andrew Blanton
29 8 2	Eliana George
12 7 21	Levi Harrison
15 3 17	Maddie Mabry
74 7 25	Kevin Harris
47 11 8	Sophia Olvera
51 9 17	Joe Coleman
65 4 9	Jennifer James
78 11 15	Valerie Simpson
71 0 4	Edward Baldwin
75 3 3	Brandon Grantham
71 1 21	Dani Wheeler
84 6 12	Andres Hardy
11 3 13	Kevin Harvey
57 8 6	Edward Reid
67 0 15	Hugh Evans
20 4 8	Jacqueline Sterling
55 3 21	Katherine Barrett
26 2 25	Krissy Hines
87 5 2	Michael Simpson
69 9 28	Salvador Wilkins
46 6 27	Diana Perez
72 0 22	Alice Flynn
76 5 20	Diana Holland
87 7 24	Janice Barrett
74 6 15	Earnest Steadman
20 2 15	Christine George
45 3 2	Terence George
56 11 8	Gerard Taylor
76 4 16	Martha Edwards
50 2 2	Zachary Padilla
51 2 25	Elijah Gonzalez
32 10 15	Terry Hubbard
10 10 20	Alejandro Perry
23 3 18	Lila Flowers
79 3 24	Treva Hampton
88 1 27	Pamala Whitworth
40 9 16	Darrin Freeman
63 5 8	Nicolette Butler
9 6 28	Sophia Sterling
39 8 1	Joanne Simpson
90 8 1	Val Brooks
20 6 13	David Whitworth
35 8 16	Krissy Archer
33 0 2	Shanelle Smith
38 9 30	Margaret Griffin
45 9 29	Marion Patterson
48 2 22	Norman Butler
28 8 0	Lonnie Duong
54 4 4	Christine Lamb
21 1 8	Jose Hubbard
63 8 0	Irene Long
74 0 13	Zachary Willis
78 10 29	Jackeline Faison
14 6 26	Jason Clark
64 4 27	Katherine Martin
10 8 18	Jane Baldwin
41 4 14	Yuonne Fenton
24 5 29	Marie Holloway
40 4 25	See Butler
28 8 13	Shrimply Bowling
78 7 6	Brandon Horowitz
56 0 23	Brian Bryant
55 3 23	Lucia Ball
75 4 26	Rafael Wilson
15 6 18	Nicholas Morris
58 2 9	Fred Vaughn
55 7 17	Felipe Price
40 8 1	Hsiu Barber
75 1 20	Nicholas Kelley
14 0 9	Alejandro Goodrich
32 7 15	Howard Caraballo
89 1 30	Roger Morris
25 3 17	Shrimply Patterson
64 8 27	Angel Taylor
10 6 1	Randee Porterfield
29 10 17	Andre Hughes
60 9 22	Nicholas Knight
71 0 23	Catherine Lanham
54 0 5	Clark Flowers
80 5 8	Jeremy Taylor
9 2 20	Stephenie Knight
60 1 29	Janice Ruiz
88 5 8	Ramiro Foster
81 11 2	Adam Drake
19 9 10	Nicholas Dean
74 10 11	Anya Sherman
15 1 25	Val Ross
45 8 25	Brandon Reid
81 3 1	Gordon Morgan
24 3 24	Ella Hardy
90 8 1	Ashley Medina
85 2 11	Jason Seymore
63 3 16	Walter Bailey
31 8 0	Walter Medina
39 2 29	Alan Gonzales
61 3 30	Denise Hutchings
46 9 7	Raymond Campbell
15 6 8	Ken Moody
63 11 10	Kenneth Reeves
83 10 24	Marie Aguilar
88 5 12	Ernest Sherman
69 3 10	Mildred Bowen
66 8 17	Erica Russell
68 4 15	Claudine Price
39 8 17	Angie Howard
65 7 4	Susan Mccune
43 4 6	Hsiu Flaherty
19 0 4	Roger Graves
11 0 4	Hugh Thompson
53 4 5	Brian Padilla
22 4 13	Herma Roy
21 4 12	Shanelle Powell
28 2 2	Delaine Carr
26 0 8	Angel Platt
77 11 24	Stephenie Ramirez
22 2 4	Gerard Ward
23 4 6	Zada Lane
17 8 3	Brandon Price
68 6 25	Krissy Reeves
9 4 7	Rufus Foster
57 7 0	Martin Barrett
81 1 12	Santiago McDonald
36 7 1	Nicholas Caraballo
22 2 21	Martha Bell
90 2 5	Jackie Aguilar
31 1 15	Margaret Ross
45 1 22	Eugenia Allen
64 5 5	Jeremy Copeland
79 0 16	Johnathan Harris
80 10 23	Annie Wood
65 7 9	Lynn Lee
78 0 12	Jackie Hutchings
90 11 23	Bobby Humphrey
79 5 17	Eileen Fleming
9 5 4	Pamala Ramirez
67 7 16	Christopher Campbell
29 10 16	Wayne Huddleston
77 10 5	George Reddick
30 6 15	Devin Rhodes
28 9 24	Sharon Reid
79 6 16	Willie Fenton
68 0 24	Andre Steadman
49 5 13	Angie Freeman
47 5 29	Ronald Perry
28 4 18	Melissa Clark
60 0 25	Ken Vaughn
17 11 30	Terence Bass
13 7 7	Cynthia Dean
66 5 11	Jeni Stokes
49 6 16	Elijah Wright
27 4 28	Brandon Casey
64 9 14	Rafael Flynn
67 11 10	Fred Fenton
25 10 18	Joanne Vargas
77 9 8	Nicolette Drake
26 2 8	Norman Dennis
24 6 27	Stasia Green
72 6 9	Deborah Pibbles
59 9 16	Jeni Padilla
77 9 23	Raymond Wilson
32 7 28	Arthur Garcia
28 0 5	Nancy King
90 9 22	Jean Maldonado
19 4 13	Ronald Fortune
90 8 19	Kevin Evans
53 4 1	Dwayne Lee
13 5 22	Hugh Clark
72 9 30	Benjamin Williams
74 11 14	Terence Hindman
81 0 15	Wanda Rogers
35 4 28	Pamela Peterson
89 10 21	Tracy Ross
32 10 0	Bryant Baumann
78 8 2	Sophia Holland
44 11 17	Spencer Reyes
24 2 25	Anya Watson
81 3 6	Bryant Wilson
54 0 28	Sharon Brockman
69 6 15	Krissy Henderson
10 10 21	David Kelley
61 1 8	Jacqueline Cox
33 7 30	Susan Nelson
21 7 17	Nancy Griffin
16 11 20	Dorothy Bryant
78 5 7	Nancy Alvarado
89 7 27	Valerie Fenton
11 8 2	Erica Clark
21 8 0	Andres Reddick
76 10 14	Timmy Ruiz
68 10 1	Joe Evans
64 1 1	Gordon Brockman
66 4 23	Wilmer Sterling
59 3 5	Andrea Campbell
56 1 2	Karen Moran
21 9 23	Cheryl Padilla
85 10 26	Estelle McDaniel
17 3 8	Ashley Bell
73 11 3	Charles Williams
69 2 22	Mildred Townsend
70 7 28	Betty Harvey
64 9 8	Jonathan Lane
84 9 15	Kenneth Tackett
75 1 11	Rebecca Watson
87 10 20	Deborah Horowitz
31 9 22	Gordon Moore
74 8 2	Katherine Wheeler
18 10 17	Josphine Flaherty
83 2 1	Janet Rogers
52 8 9	Shani Patterson
11 0 10	Sophia Humphrey
28 1 25	Wade Robinson
66 0 22	Janet Arevalo
85 2 13	Ramiro Campbell
55 3 17	Brandon Moore
38 11 14	Alejandro Bell
24 6 25	Germaine Long
73 8 28	Santiago Arevalo
36 6 11	Helen Huddleston
74 2 30	Levi James
83 8 1	Jose Nelson
67 7 23	Dwayne Tate
44 0 1	Germaine Tiller
56 9 26	Doris Holland
25 8 6	Catherine Barth
75 2 1	Candelaria Sterling
29 10 19	Andrea Powell
19 8 5	Walter George
24 3 20	Joe Ross
37 11 27	Ken Mabry
13 7 30	Mary Horowitz
24 8 21	Ramiro Sullivan
78 1 0	Lindsay Jones
61 0 5	Maddie Brown
26 2 24	George Seymore
31 2 1	Jonathan Thompson
81 9 14	Kasie Taylor
73 7 24	Jonathan Hall
87 10 17	Patricia Horowitz
63 10 23	Treva Ball
9 9 20	Mary Thomas
60 8 16	Lindsey Nunez
20 4 7	Denise Mabry
50 7 1	Frankie Orosco
50 10 18	Nicholas Harris
67 1 30	William Vaughn
25 3 19	Clark Reid
55 1 26	Candelaria Drake
53 8 14	Bobby Hughes
77 6 6	Maria Bailey
86 1 17	Doris Baldwin
88 11 19	Laura Hill
71 0 18	Grace Bell
24 9 23	Randee Garcia
28 9 16	Diana Barnes
24 3 8	Wayne Barnes
52 7 2	Gary Howard
60 7 27	Frankie Bennett
49 6 4	Lucia Green
74 8 22	Marie Bryant
76 5 7	Timothy Barnes
39 11 17	Marie Marsh
61 2 16	Sherri Bass
34 4 7	Clarence Carter
69 1 21	Diana Payne
31 0 9	Christine Hernandez
32 5 13	Rafael Bennett
55 9 15	Jorge Wagner
40 0 1	Jonathan Peterson
84 7 10	Teresa Russell
33 8 19	Janice Phillips
52 7 4	Gary Young
23 2 15	Betty Huddleston
75 7 3	Estelle Taylor
24 3 20	Bryant Edwards
79 5 11	Andres Ross
52 0 3	Jean Flynn
22 4 15	Tammy Moore
51 9 11	Eugenia Williams
77 10 26	Krissy Moore
54 9 15	Lindsey Sullivan
21 9 19	Jeremy Seymore
16 7 25	Judith Sanchez
26 3 27	Elijah Webb
74 5 1	Mary Barnes
20 5 7	Johnny Wagner
44 3 11	Marion Smith
29 2 3	Ernest Wood
26 9 3	Kimberly Price
46 4 22	Tammy Hubbard
25 4 8	Judith Lee
53 7 29	Shrimply Rivera
61 6 19	Joe Dennis
30 6 18	Rafael Hughes
56 9 20	Samual Lopez
58 7 26	Jennifer Barth
8 10 6	Mildred Baker
45 5 17	Laurence Anderson
15 3 8	Ivan Cox
75 10 14	Calvin Washington
46 3 16	Raymond Orosco
55 9 25	Joe Flynn
24 11 17	Wade Butler
19 6 20	Jean Jenkins
13 8 28	Yuonne Allen
55 10 21	Mary Evans
79 0 20	Janice Campbell
18 11 12	Johnny Gonzalez
47 11 21	Diana Seymore
10 7 13	Charlene Simpson
15 0 18	Rebecca Watson
63 3 30	Nicholas Perez
81 4 8	Diana Fleming
43 9 22	Eloise Tackett
67 4 23	Carl Blanton
18 1 17	Anna Hines
46 0 12	Willie Rivera
36 2 6	Andre Buchanan
47 8 24	Earl Ramirez
42 8 25	Carl Pulliam
16 3 7	Carley Wilkins
52 5 10	Michelle Stokes
18 4 4	Dwayne Hollins
24 5 17	Gregory Roy
48 5 26	Julie Orosco
80 10 19	Santiago Boyle
75 9 14	Cynthia Wagner
34 6 24	Myron Rivera
13 9 9	Bobby Vargas
73 2 28	Aaron Carter
58 10 21	Stasia Roy
83 4 22	Deborah Moody
14 7 23	Rosie Martin
34 6 22	Joanne Scott
63 0 2	Jennifer Reid
78 9 11	Fred Wheeler
10 2 18	Susan Freeman
28 2 29	Lucia Thomas
65 1 17	Jason Shuman
61 3 10	Joe Fenton
77 8 9	Shanelle Powell
85 10 27	Alan Baldwin
20 9 9	Christopher Sanchez
58 10 5	Dexter Richardson
33 1 16	Calvin Walters
46 1 29	Karrie McDonald
81 8 2	Kim Tiller
60 7 26	Dwayne Russell
52 2 8	Jackeline Williams
65 0 16	Kevin Brooks
17 11 23	Jose Hall
51 11 1	Darrin Graves
38 7 0	Cecil Clark
11 6 14	Wayne Coleman
38 10 13	Karrie Bass
71 1 11	Stasia Bowen
48 2 0	Kathy Yoon
46 9 11	Rafael Moran
48 2 3	Germaine Thompson
69 8 0	Jackeline Ingram
85 0 11	Raymond Bailey
42 4 12	Kathy Brown
43 5 5	Bryant Henderson
14 0 7	Eloise Casey
51 9 0	Jack Orosco
86 0 18	Krissy Mitchell
17 3 30	Sophia Turner
10 9 10	Santiago Bailey
13 9 18	Carl Simpson
85 5 28	Donald Thompson
21 4 4	Marion Foster
85 9 22	Eugenia Lopez
8 2 20	Elvina Reed
71 4 22	Eileen Price
89 11 21	Angel Roland
87 2 23	Annie Phillips
62 3 18	Salvador Payne
34 7 29	Karen Peters
13 9 15	Hsiu Morris
88 11 26	Salvador Gonzales
24 1 11	Brandon Dean
40 0 19	Martin Young
22 10 8	Andre Arevalo
33 5 5	Angelika Wright
75 9 2	Candelaria Taylor
20 9 5	Heidi Main
73 10 16	Max Torres
17 0 7	Arthur Mccune
39 5 20	Khadijah Campbell
60 0 6	Charles Simpson
15 9 6	Jean Huddleston
44 4 19	Alan Payne
30 9 8	Angie Fenton
21 11 5	Johnny Whitworth
37 4 29	Timmy Sullivan
19 3 8	Jane Howard
18 7 18	Janice Casey
33 8 9	Wade Vega
71 2 20	Jane McDaniel
84 7 29	Annie Thompson
59 5 3	Jack Cox
24 10 29	Jennifer Moore
8 3 26	Deborah Moran
14 10 11	Barbara Grantham
34 4 13	David Mabry
86 1 17	Santiago Cooper
87 5 13	Lillian Maier
54 3 13	Carl Reid
68 8 10	Clark Hall
48 0 16	Nicholas Lamb
72 1 12	Shanelle Medina
11 7 4	Amanda Ross
15 1 28	Roy Bryant
73 2 15	Rebecca Richardson
60 5 10	Andrew Bowling
41 1 10	Amanda Allen
14 0 11	Lonnie Clark
56 9 8	Kasie Harrington
38 0 5	Eugene Harris
35 6 3	Dennis Arevalo
45 1 26	Jorge Ruiz
76 5 30	Diana Kelley
71 6 0	Deborah Alvarado
17 5 21	Gary Horowitz
37 2 13	Helen Parker
42 6 20	Zada Whitworth
48 3 10	Johnathan George
54 10 4	Clark Hampton
58 1 30	Walter Lee
50 3 11	Roger Adams
77 4 17	Shrimply Neal
53 3 20	Mary Rivera
64 3 16	Wilson Roland
16 6 24	Mary Hale
60 0 27	Treva Sanchez
19 5 28	Judith Cooper
67 0 21	Felipe Perez
25 9 5	Deborah Franklin
42 11 19	Christine Webb
90 0 23	Krissy Franklin
83 1 2	Herma Diaz
64 3 20	Barbara Webb
61 4 24	Hugh Banks
50 2 13	Pat Dennis
76 1 15	Estelle Lewis
58 5 29	Jonathan Caraballo
89 4 12	Karrie Porterfield
59 2 10	Natalie Sanders
31 1 28	Wade Reed
79 4 18	Ronald Vargas
66 4 15	Janet Evans
34 7 12	Belinda Martinez
26 5 27	Nancy Lindsey
39 10 1	Joe Pibbles
78 4 22	Lucia Scott
79 8 28	Dorothy Smith
39 0 3	Terrell Lee
66 8 9	Andre Mabry
88 8 18	Sherri Faison
88 4 24	Vera Vargas
76 9 17	Teresa Bailey
20 6 30	Angel Hudson
75 2 19	Gregory Banks
25 1 9	Gary Hale
27 2 2	Wanda Collins
72 8 2	Val Orosco
51 11 14	Margaret Kelley
60 2 26	Willie Stokes
22 0 4	Charlene Hernandez
16 0 7	Antoinette Flores
8 9 17	Aubrey Reed
23 0 25	Betty Padilla
14 2 13	Charles Weaver
70 5 14	Glennis Bailey
38 6 26	Angelika Rhodes
55 8 4	Anthony Browne
29 11 19	Clayton Meyer
35 5 12	Gerard Holland
21 10 0	Earnest Copeland
83 5 7	Julie Wood
19 2 2	Oretha Arevalo
64 4 18	Jonathan Edwards
61 0 4	Antoinette Lane
25 1 9	Nancy Main
66 2 25	Dennis Reyes
52 0 12	Aaron Murphy
66 3 1	Natalie Davis
24 3 26	George Harrison
63 11 29	Jackie Long
36 1 4	Natasha Shuman
50 8 19	Eloise Sanchez
66 7 10	Marilyn Rodriguez
11 10 11	Amanda Henderson
87 9 3	Wanda Mccune
45 1 1	Eileen Jackson
70 9 3	Natalie Tackett
83 2 8	Claudine Edwards
9 6 10	Marion Wright
51 0 11	Joanne Phillips
71 5 14	Dennis Tiller
41 9 30	Chris Grantham
74 7 21	Andres Flynn
23 1 3	Felipe Hunt
87 2 12	Helen Diaz
58 9 26	Terry Reyes
55 0 22	Joe Nelson
