10607
87 7 26	See Hines
22 2 1	Martin Campbell
69 5 4	Julie Reddick
31 7 25	Howard Garcia
74 0 26	Eliana Wright
9 0 6	Melita Gracia
20 0 29	Mary Parker
62 7 24	Annie Harrington
75 8 7	Erica Griffin
46 3 9	Jane Henderson
40 0 29	Erica Olvera
13 4 24	Gary Williams
52 8 6	Richard Henderson
49 10 18	Rebecca Barth
8 2 6	Ken Bennett
37 4 11	Eugenia Dunn
54 5 11	Ella Kelley
52 4 7	Roy Campbell
66 3 7	Steve Scott
18 8 27	Dani Vaughn
46 2 9	Howard Jenkins
80 10 20	Pat Martin
52 0 11	Nancy Stokes
24 11 13	Ramiro Nunez
49 1 21	Oretha Jones
42 10 4	Estelle Edwards
55 10 4	Christine Diaz
29 5 29	Rose Huddleston
68 9 24	Eloise Tiller
29 3 15	Bryant Moore
58 4 16	William Roy
32 0 17	Marshall Richardson
62 1 2	Angie Steadman
57 2 8	Dawne Orosco
20 3 7	Christopher Blanton
61 7 23	Inez Martin
75 9 1	Anna Roland
62 5 26	Lucia Drake
63 8 30	Janice Harrison
56 6 0	Deborah Collins
66 9 20	Terrell Watson
46 3 9	Heidi Faison
39 9 19	Marilyn Caraballo
20 6 7	Marilyn Peterson
20 6 4	Yuonne Main
88 6 20	Ramiro Lamb
80 3 29	Josphine Jones
71 11 13	Kevin Tiller
29 11 28	Yuonne Brooks
48 5 26	Gregory Ruiz
60 5 9	Dawne Shuman
73 7 30	Angelika Foster
42 5 2	Laurence Scott
13 10 5	Clark Maier
56 3 24	Edward Sherman
27 8 12	Mary Baker
25 8 3	Cheryl Howard
81 0 16	Charles Cook
21 7 2	Rachel Norman
53 5 16	Karen Kelly
30 2 4	Jacqueline Moran
26 1 3	Brandon Smith
18 9 20	Kimberly Hines
89 1 1	Irene Neal
72 5 0	Karen Horan
89 2 27	Lillian Collins
65 5 24	Candelaria Reed
43 10 21	Lindsay Long
67 0 24	Salvador Ramirez
28 3 24	Bryant Ball
87 8 0	Laurence Murphy
43 1 1	Joe Gracia
22 9 2	Gary Aaron
9 11 9	Andrew Flowers
89 2 27	Anya Walker
52 9 9	Raymond Parker
72 6 16	Raymond Hines
65 3 11	Andrew Mccune
9 2 20	Andres Hampton
46 1 14	Nancy Hindman
49 9 24	Samual Reddick
69 7 27	Cecil Barlow
59 11 15	Santiago Moody
69 4 10	Estelle Franklin
26 3 14	Andrea Barnes
20 7 15	Rafael Simpson
19 2 9	Jorge Campbell
84 2 0	Andres Fortune
41 1 29	Natasha Baldwin
65 2 7	Wayne Doyle
67 2 28	Joshua Perez
10 3 21	Ella Ruiz
17 8 0	Jane Perez
10 1 14	Heidi Bailey
28 4 21	Martin Tackett
35 7 0	Kelly Moore
35 11 0	Robin Turner
38 6 14	Diane Blanton
33 6 27	Vera Banks
78 5 9	Donald Kelly
90 4 16	Levi Thompson
63 9 0	Fred Thompson
88 0 3	Angelika Williams
70 5 14	Lucia Mccune
35 11 25	Margaret Perkins
46 10 3	Terrell Reed
11 10 25	Natasha Brockman
18 8 9	Aida Brockman
10 6 4	Myron Taylor
83 6 30	Melissa Roland
42 7 8	Jacqulyn McDonald
87 11 0	Inez Reeves
73 10 25	Khadijah Henderson
11 3 14	Teresa Baldwin
58 1 8	Heidi Blanton
20 8 23	Nelson Russell
27 5 18	Wanda Knight
90 6 26	Stasia Lane
42 9 17	Aubrey Hollins
58 3 12	Jennifer Davis
9 6 5	Wilson Hernandez
58 3 27	Stephenie Hunt
36 0 4	Erica Powell
11 0 11	Eloise Flynn
31 10 26	Michael Harrington
25 6 16	Wayne Ward
26 3 13	Devin Evans
44 9 7	Andrew Watson
77 4 27	Antoinette Sanders
54 3 27	Bobby Steadman
70 9 14	Annie Hill
54 8 30	Barbara Perry
41 0 14	Ashley Boyle
78 5 14	Janice Hutchings
77 10 17	Eliana Brooks
63 8 20	Claudine Bowling
70 5 1	Doris Orosco
74 9 21	Natalie Collins
44 5 8	Chris Griffin
59 11 25	Casey Walker
83 6 21	Alejandro Franklin
39 1 3	Jenifer Bryant
62 11 11	Andrew Ward
18 3 21	Hugh Jackson
33 4 28	Aida Simpson
9 11 22	Laura Benton
55 11 30	Benjamin Vaughn
20 6 27	Jane Hall
90 4 16	Wilmer Parker
46 9 6	Jonathan Bennett
80 4 3	Janice Peterson
71 8 12	Kevin Roberts
37 0 22	Glennis Bailey
48 3 17	Clayton Peterson
69 6 11	Lindsey Reyes
64 10 2	Johnathan Hampton
70 2 20	Alice Blanton
17 8 1	Jean Allen
83 1 17	Gerard Price
29 0 10	Margaret Campbell
88 2 27	George Wright
19 11 15	Melita Dean
61 4 11	Martha Jenkins
79 3 11	Lillian Pibbles
72 10 3	Germaine Kelly
45 6 13	Laura Willis
55 4 19	Elijah Boyle
11 8 4	Nancy Sterling
84 9 16	Zada Townsend
84 0 8	Andres Price
26 3 6	Spencer Mccune
53 9 5	Ronald Tiller
75 3 20	Betty Bennett
43 1 21	Martin Yoon
77 2 27	Pamala Barnes
33 7 4	Brandon Harvey
47 7 17	Earnest Scott
58 1 5	Nicholas Campbell
87 2 30	Marilyn Jenkins
18 1 1	Andrea Patterson
83 3 19	Grace Archer
73 1 19	Lila Lanham
33 8 18	Karrie Perkins
20 4 8	George Mccune
63 4 23	See Duong
52 10 1	Pamala Griffin
19 1 0	Joshua Cox
67 7 19	Glennis Hughes
66 10 26	Aida Watson
40 1 18	Treva Fenton
36 7 28	Cheryl Lane
90 9 1	Melissa Norman
15 8 24	Tammy Copeland
85 11 0	Diana Harvey
51 6 9	Joe Lindsey
71 6 30	Irene Arevalo
56 3 22	Christopher Barber
47 11 24	Anna Horan
79 7 27	Herma Scott
48 0 6	Kelly Roberts
20 6 30	Salvador Price
29 3 20	Timothy Jones
79 7 20	Gregory Edwards
40 9 7	Sherri Fenton
49 1 2	Clarence Aguilar
58 0 25	Alycia Lewis
48 4 29	Estelle Collins
69 4 7	Tracy Taylor
84 9 10	Margaret Reeves
66 1 22	William Hunt
55 2 19	Terrell Simpson
9 2 27	Timmy Platt
30 9 14	Tammy Platt
52 11 10	Terence Hall
29 8 3	Ernest Ingram
42 6 1	Dani Davis
24 2 15	Tammy Patterson
77 8 12	Candelaria Graves
69 5 6	Gregory Gonzalez
72 1 11	Angelika Medina
53 6 13	Hugh Sterling
30 5 24	Aaron Smith
16 9 16	Niki Kelley
82 4 27	Doris Butler
39 1 24	Jacqueline Evans
50 10 0	Maria Hardy
48 4 11	Jonathan Huddleston
50 7 20	Patti Green
37 5 5	Candelaria Freeman
61 1 9	Lillian Hutchings
24 9 23	Jennifer Wagner
29 10 0	Belinda Lamb
82 10 17	Dorothy Whitworth
84 0 22	George Harris
62 2 20	Martin Bryant
43 7 19	See Morgan
52 9 1	Irene Simpson
39 1 10	Sophia Ball
37 7 27	Barbara Fenton
29 0 7	Janet Barber
37 9 2	Lynn Hollins
15 10 13	Michael Bowen
42 3 23	Mildred Foster
31 9 28	Spencer Davis
54 11 6	Kenneth Mitchell
13 0 23	Marion Long
16 11 15	Marion Bell
16 3 17	Ken Evans
54 5 7	Dani Bell
66 10 2	Dorothy Sanders
75 7 24	Adam Carr
83 11 9	Kimberly Smith
29 1 20	Devin Hubbard
65 1 19	Devin Hall
50 7 20	Candelaria Moore
13 2 6	Wayne Hill
45 10 23	Barbara Alexander
49 11 17	Kathleen Maldonado
28 10 13	Samual Lindsey
74 6 17	Martin Graves
67 10 1	Melita Wagner
75 9 6	Heidi Roy
47 3 5	Jeremy Evans
89 2 2	Irene Barth
65 0 20	Marilyn Rhodes
60 4 19	Andrew Hudson
48 0 7	Martha Edwards
38 0 19	Susan Lindsey
89 1 8	Shrimply Hill
46 9 22	Luz Roy
8 2 24	Steve Turner
64 7 3	Benjamin Lamb
89 4 24	Eugene Ball
58 10 11	See Olvera
39 1 19	Rafael Reeves
72 11 9	Mary Flowers
79 1 10	Anna Ward
12 0 2	Maryalice Copeland
82 9 1	Jane Watson
14 7 26	Joanne Edwards
67 10 3	Cheryl Hughes
65 0 29	Charles Blanton
15 2 16	Natalie Baldwin
22 10 11	Candelaria Carr
27 1 26	Bobby Graves
76 10 5	Josphine Howard
53 7 25	Lillian Holland
86 2 27	Cynthia Norman
28 3 2	Myron Martin
70 0 12	Angel Willis
73 10 22	Shani Perez
73 11 0	Grace Steadman
71 0 14	Judith Cooper
82 9 4	Earnest Watson
43 0 7	Wilson Russell
44 4 10	Andre Hardy
81 11 10	Germaine Nelson
14 0 25	Rebecca Fortune
13 9 30	Martin Murphy
57 6 22	Joshua Hamilton
85 2 19	Oretha Main
46 8 21	Mary Gray
27 7 26	Catherine Drake
75 9 16	Lindsay Goodrich
19 9 9	Robin Walker
28 7 8	Clayton Roland
30 7 2	Nelson Thompson
86 8 8	Jose Vaughn
71 1 9	Santiago Bennett
45 0 16	Krissy Lindsey
24 0 27	Kathleen Tackett
24 3 0	Nicholas Richardson
30 6 10	Brandon Humphrey
26 3 17	Marjorie Reeves
42 2 5	Willie Caraballo
78 5 18	Ronald White
28 0 7	Clayton Lee
52 8 28	Lindsey Barth
86 5 30	Tracy Maldonado
67 1 27	Natasha Carvalho
26 4 5	Lynn Browne
87 11 11	Jeremy Thomas
34 7 9	Raymond Bryant
78 5 17	Rebecca Archer
88 10 16	Heidi Lewis
74 5 25	Gary Seymore
74 9 15	Terrell Mitchell
60 2 3	Maryalice Cook
50 7 23	Jane Richardson
87 4 1	Brandon Neal
75 1 20	Ella Ross
43 10 24	Grace Hubbard
48 0 30	Annie Steadman
62 8 1	Annie Campbell
59 11 19	Ramiro Butler
43 9 15	Martha Sanchez
33 10 14	Helen Tackett
15 4 23	Brian Carr
88 7 25	Bryant Webb
24 4 17	Jorge Mccune
30 8 26	Marion Hollins
51 0 8	Darrin Price
18 2 9	Anthony Bryant
89 5 25	Inez Cox
25 4 29	Richard Hughes
30 6 18	Teresa Watson
40 6 3	See Gray
68 3 17	Gary Watson
58 6 13	Joe Clark
89 6 15	Rufus Reid
23 6 19	Casey Edwards
32 9 1	Sherri Jenkins
90 3 9	Joshua Flores
54 11 28	Robin Walters
42 2 28	Lonnie Sterling
66 11 9	Dani Powell
64 6 0	Christine Cox
63 0 21	Estelle Kelly
89 8 22	Ken Brockman
59 6 24	Pamela Butler
56 11 30	Donald King
65 6 3	Roy Porterfield
79 8 25	Donald Bell
69 9 0	Michael Collins
74 1 11	Germaine Huddleston
13 8 21	Kathleen Maldonado
15 2 9	Mildred Phillips
36 7 23	Wanda Harris
58 1 24	Pamela Baumann
86 6 17	Roger Rogers
73 9 5	Pamela Maier
86 5 18	Elvina Payne
59 10 24	Ryan Harris
55 2 17	Mildred Lane
25 7 27	Levi James
45 2 11	Mildred Price
84 9 20	Julie Tate
10 4 29	Melita Boyle
45 1 14	Andre Patterson
42 3 14	Salvador Hines
83 7 26	Ryan Davis
73 4 12	Jane Watson
80 3 10	Dwayne Rodriguez
63 7 29	Ella White
51 0 13	Arthur James
8 6 11	George Seymore
13 7 18	Karrie Clark
17 7 30	Nancy Diaz
36 11 5	Annie Wheeler
23 2 17	Earnest Holland
36 3 30	Ella Goodrich
52 2 11	Darrin Moore
67 1 21	Eugene Olvera
42 1 17	Randee Alvarado
46 6 18	Maryalice Paul
73 11 13	Marjorie Foster
67 0 5	Anthony Grantham
19 0 7	Marshall Weaver
36 2 6	Charlene Paul
83 10 1	Aubrey Nunez
69 6 21	Tracy Stewart
33 11 25	Dani Jackson
47 2 21	Ryan Holloway
36 3 14	Lindsey Richardson
24 11 22	Karrie Franklin
56 0 17	Brian Reddick
49 5 17	Janet Gracia
35 2 23	Earnest Norman
90 4 17	Gordon Fortune
79 3 19	Maryalice Hamilton
84 6 25	Marion Aaron
38 9 8	Steve Thompson
62 4 17	Barbara Moran
54 5 0	Ronald Walters
45 9 0	Delaine Ross
50 0 10	Diane Walker
63 4 9	Cecil Bowling
79 3 26	Eugenia Ball
9 5 1	Janice Thompson
72 10 17	Ronald McDonald
40 7 12	Anna Harrington
71 3 22	Delaine Vaughn
49 4 2	Dawne Hernandez
63 2 19	Jane Boyle
78 3 19	Pamala Holland
51 8 19	Andre Rodriguez
87 4 28	Eugenia Gonzales
48 6 13	Arthur Torres
72 0 16	Ronald Orosco
31 6 12	Santiago Vaughn
36 7 28	Marjorie Griffin
44 1 17	Andrea Main
86 2 1	Clarence Bass
79 2 11	Casey Alvarado
82 3 17	Jacqulyn Moran
24 4 25	Frankie Hampton
55 4 7	Carley Hutchings
62 2 11	Diane Casey
52 6 4	Lillian Davis
84 11 30	Robin Bass
74 3 16	Maryalice Knight
58 8 1	Denise Holland
71 5 10	Dennis Pulliam
77 8 9	Collen McDaniel
44 3 13	George Barth
84 10 7	Janet Campbell
17 6 18	Willie Orosco
64 1 3	Dorothy Grantham
21 4 16	Angelika Russell
68 3 17	Rebecca Townsend
21 8 12	Laurence Morgan
81 0 26	Irene Drake
68 6 2	Barbara Green
73 2 20	Valerie Harris
8 2 26	Nicholas Hudson
61 4 29	Darrin Sanders
25 9 26	Cheryl Ruiz
50 5 16	Yuonne Lewis
56 8 14	Norman Martinez
87 11 5	Barbara Thompson
19 5 11	Laura Bowen
34 3 15	Richard Baldwin
27 1 18	Howard Campbell
51 4 16	Jane Hale
86 5 25	Terrell Morris
58 9 5	Willie Horan
68 0 29	Marilyn Casey
73 7 8	Calvin Diaz
60 11 29	Johnny Martin
34 0 1	Johnathan Faison
10 7 16	William Phillips
64 1 9	Salvador Ward
57 4 22	Eugene Martin
8 5 12	David McDonald
32 2 0	Jose Perez
17 8 18	Mary Harrington
60 5 12	Raymond Watson
87 5 3	Christine Cox
21 0 28	Timothy Long
22 2 28	Timmy Shuman
87 2 0	Deborah Torres
13 0 18	Bobby Bowling
27 10 21	Donald Hall
50 1 15	Val Collins
16 9 30	Adam Barlow
10 4 6	Margaret Martinez
26 9 13	Antoinette Norman
42 3 29	Alma Moore
70 2 5	Devin Moody
68 11 19	Melissa Caraballo
29 6 21	Rosie Scott
28 5 22	Walter Flowers
72 2 15	Barbara Campbell
9 10 11	Alice Henderson
32 8 16	Lindsay Taylor
64 5 5	Inez Barber
74 10 30	Rafael Hall
54 10 10	Jane Drake
70 6 27	Chris Moran
58 7 25	Max Butler
33 10 23	Levi Walters
58 10 20	Dani Ross
66 10 9	Delaine Young
80 5 20	Timothy Powell
37 4 1	Laurence Holt
77 5 26	Doris Lee
37 0 11	Frankie Murphy
82 6 25	Clarence Yoon
11 4 26	Kathy Anderson
36 10 7	Kevin Aguilar
29 7 22	Gary Horowitz
48 7 7	Clayton Thomas
63 9 27	Niki Perry
82 8 14	Robin Price
43 4 3	Nicolette Evans
84 0 29	Jeni Sherman
72 7 28	Jeremy Davis
27 1 0	Roger Rodriguez
37 11 22	Pamala Fenton
44 3 13	Elvina Thompson
18 4 13	Tracy Lewis
28 1 30	Diana Horowitz
29 11 15	Willie Reid
51 0 11	Joanne Kelley
13 3 10	Steve Harvey
66 4 22	Jenifer Roberts
58 11 21	Karen Gonzalez
28 8 16	Deborah Lee
58 11 21	Johnathan Sherman
52 4 6	Walter Hill
72 8 12	Alan Bailey
62 2 1	Mary Campbell
32 6 28	Sherri Cooper
83 8 24	Pat Seymore
22 10 13	Antoinette McDonald
80 10 9	Charlene Bennett
73 10 16	Steve Steadman
40 10 8	Jeni Vega
16 11 1	Michelle Graves
79 1 13	Carl Ross
85 8 26	Kevin Harris
20 8 19	Stephenie Rivera
31 4 29	Michael Clark
79 4 26	Ronald Hall
42 10 26	Annie Hubbard
74 5 15	Dennis Whitworth
8 8 2	Aida Murphy
11 10 2	Grace Walters
74 10 2	Jeremy Rhodes
80 2 18	Clark Graves
88 5 29	Walter Anderson
87 5 18	Lonnie Coleman
74 0 27	Angel Brown
46 6 14	Marjorie Hubbard
20 6 30	Janet Young
47 2 10	Irene Bennett
16 3 16	Delaine Mccune
25 1 19	Brandon Griffin
37 4 29	Lindsey Webb
49 6 5	Jane Cooper
73 6 22	Claudine Lamb
56 1 15	Treva Harris
63 3 24	Jacqueline Neal
18 5 26	Ramiro Whitworth
58 4 30	Marjorie Flores
55 11 1	Kenneth Caraballo
27 9 2	Sharon Huddleston
64 3 7	Ashley Olvera
79 5 3	Charlene Knight
31 0 13	Brandon Peterson
65 3 7	Vera Mitchell
53 0 14	Krissy Reeves
60 8 11	Amanda Walters
76 2 19	Adam Mabry
10 11 14	Jorge Rodriguez
33 0 19	Kenneth Young
14 11 16	Joanne Phillips
34 1 16	Christopher Reid
12 8 10	Gary Arevalo
61 7 10	Diane McDonald
82 8 28	Gerard Holland
61 6 25	Rafael Holloway
10 2 10	Annie Phillips
41 7 12	Gary Reed
53 6 21	Bryant Harris
60 10 15	Erica Norman
31 3 19	Wayne Perry
48 9 18	Jason Hutchings
55 9 24	Julie Sanchez
16 7 14	Max Steadman
23 4 20	Frankie Campbell
67 6 28	Deborah Sullivan
48 0 25	Erica Edwards
15 11 10	Valerie Ingram
63 1 23	Brandon Seymore
49 5 14	See Henderson
11 8 1	Val Walker
15 9 27	Gregory James
34 4 3	Carl Griffin
67 3 20	Ernest Benton
57 6 23	Betty Harrison
51 0 11	Calvin White
85 1 19	Shanelle Hutchings
57 8 13	Willie Hines
72 0 1	Karrie Browne
56 1 21	Elijah Wood
12 2 21	Tracy Johnson
19 7 12	Benjamin Freeman
57 9 12	Wanda Barnes
77 0 23	Chris Hubbard
62 8 2	Patti Sullivan
37 4 2	Kenneth Seymore
79 4 26	Deborah Johnson
23 6 10	Zada Mccune
54 4 14	Nicholas Wagner
55 9 26	Luz Lee
9 8 8	Dawne Martinez
54 10 3	Doris Smith
57 8 6	Melita Harrison
36 8 19	Alan Baker
63 1 1	Jason Thomas
52 4 29	Felipe Taylor
38 3 24	Val Harrison
28 4 0	Tracy Long
14 10 25	Judith Davis
77 7 20	Shani Stokes
39 3 8	Joshua Hernandez
70 7 17	Eugenia Sanchez
65 9 19	Max Blanton
40 11 21	Myron Price
39 9 22	Norman Rivera
45 8 1	Nicholas Sanchez
74 10 27	Patricia Powell
41 1 13	Julie Whitworth
31 3 3	Jorge Reyes
26 4 25	Edward Alvarado
42 9 15	Teresa Franklin
36 3 23	Hsiu Flores
47 1 1	Jeremy Brockman
38 10 13	Sophia Roberts
9 9 13	Diana Browne
49 5 18	Clayton Henderson
23 4 25	Anthony Kelley
88 3 28	Eliana Evans
45 1 7	Deborah Duong
65 6 6	Kevin Copeland
20 5 25	Christopher Collins
50 5 5	Ken McDaniel
79 8 13	Margaret Watson
36 1 25	Steve Hubbard
61 2 8	Patti Hernandez
18 2 10	Anthony Scott
40 9 4	Julie Bass
50 3 21	Angie Reed
29 4 19	Carl Weaver
28 8 25	Sherri Doyle
64 5 16	Maryalice Reed
57 8 16	Rosie Caraballo
68 8 28	Kathleen Cox
54 1 18	Angelika Simpson
80 2 8	Grace Townsend
32 2 24	Carley Doyle
49 0 3	Valerie Torres
76 4 25	Jonathan Ramirez
87 1 24	Angelika Dunn
72 3 7	Sophia Bowen
49 10 14	Betty Thomas
14 11 0	Benjamin Peterson
11 2 13	Martin Flores
31 6 29	Clark Miller
62 0 22	Dwayne Henderson
82 0 13	Val Flores
22 7 19	Pamala Harris
67 6 7	Hsiu Bass
66 4 21	Lindsay Henderson
20 2 19	Roy Morgan
81 8 21	Frankie Bryant
52 0 4	Michelle Mccune
69 1 14	Collen Holloway
59 1 28	Levi Yoon
40 5 12	Roger Meyer
83 9 10	Hsiu Ross
70 4 2	Oretha Hall
81 6 16	Andres Sanchez
29 3 12	Ella Faison
47 9 27	Richard Cook
47 10 3	Jason Garcia
12 6 12	Dennis Gracia
83 8 9	Felipe Brown
12 9 26	Joe Brooks
49 5 20	Dexter Seymore
78 5 2	Rose Meyer
12 10 12	Frankie Barth
21 7 30	Denise Yoon
31 6 1	Dwayne Roberts
44 4 30	Alice Mitchell
75 7 21	Terrell Rhodes
21 0 22	Pamela Perry
55 7 29	Lillian Main
51 4 30	Felipe Lamb
82 7 16	Jeremy Long
65 6 1	Norman Holland
19 8 26	Samual Martinez
23 8 25	Jose Flynn
11 3 24	Myron Miller
16 9 4	Hugh Evans
12 2 10	Melissa Dean
81 1 14	Lynn Morgan
25 6 14	Sophia Bryant
68 11 11	Ryan Torres
20 7 11	Pamela Mabry
64 0 8	Joshua Ruiz
63 7 3	Belinda Bryant
75 7 29	Annie Alvarado
41 1 19	Rachel Hale
35 2 22	Grace Bowen
56 2 15	Eliana Baker
17 11 23	Andre Alvarado
53 8 5	Clarence Stokes
23 9 20	Terrell Robinson
9 6 7	Santiago Lee
16 6 19	Lila Jones
77 11 22	George Hampton
21 10 13	Jane Martin
20 2 19	Alycia Butler
72 6 24	Diana Barber
48 2 27	Michael Tackett
63 6 14	Kimberly Patterson
82 4 20	Earnest Ross
20 4 22	Kathy Martinez
71 10 2	Elvina Taylor
67 2 24	Vera Dean
63 9 13	Pat Evans
42 11 27	Helen Grantham
20 4 15	Erica Simpson
47 6 23	Germaine George
79 6 13	Terence Willis
15 11 10	Angie Walters
82 10 19	Pamala Wagner
54 10 7	Eugenia Nunez
36 1 17	Eloise King
56 7 20	George Drake
31 10 15	Norman Marsh
81 1 7	Candelaria Wood
23 2 29	Christopher Ramirez
81 4 30	Judith Blanton
41 11 2	Andres Gracia
21 6 14	Howard Tiller
29 5 25	Ella Holloway
87 2 10	Roger Green
52 8 3	Raymond Paul
23 5 14	Norman Alvarado
17 10 12	Kathy Edwards
39 10 28	Donald Hunt
41 9 29	Valerie Knight
22 3 25	Calvin Aguilar
37 0 1	Frankie Nunez
32 6 24	Angie Martinez
81 0 8	Claudine Cooper
38 5 19	Natasha Drake
51 5 24	Johnathan Baumann
20 7 16	Jennifer Hughes
68 11 18	Gary Brockman
20 7 25	Carley Fleming
58 6 16	Lillian Lindsey
77 7 14	Dwayne Yoon
62 0 0	Melita Copeland
23 11 18	Krissy Rhodes
57 6 26	Eugene Duong
37 4 23	Mary Faison
25 2 12	Marie Diaz
11 3 11	Edward Bennett
52 0 13	Wilson Morgan
9 8 8	Rose Bryant
46 3 8	Cynthia Hunt
31 10 1	Samual Townsend
28 0 18	Bryant Flaherty
54 0 4	Jane Morris
30 5 11	Felipe Wright
59 11 5	Helen Padilla
49 8 12	Roger Vega
43 6 15	Kimberly Brown
48 6 21	Sherri Ruiz
68 10 7	Alice Duong
25 7 10	Kimberly Murphy
21 6 18	Eloise Harrington
33 7 27	Earl Harvey
34 3 2	Stephenie Walker
55 9 9	Roy Bowling
82 0 28	Alice Lindsey
37 4 16	Diane Long
26 4 4	Aaron Shuman
47 2 12	Terence Hamilton
53 2 0	Ronald Humphrey
21 0 16	Brian Collins
71 1 13	Jacqulyn Simpson
52 11 26	Patricia Fleming
46 9 13	Christine Hampton
78 3 28	Rafael Knight
81 1 6	Kevin Bell
50 9 15	Claudine Price
19 8 22	Mary Carter
60 1 11	Alma Lee
9 10 30	Ernest Washington
85 10 23	Antoinette Price
19 8 13	Jason Wright
86 1 16	Krissy Brockman
57 7 16	Aida Shuman
51 6 12	Yuonne Brown
76 5 21	Kevin Hamilton
53 2 4	Roy Cooper
39 4 27	William Paul
33 5 3	Khadijah Olvera
59 4 10	Lindsay Sanders
53 7 21	Shrimply Williams
60 6 24	Karen Horan
26 10 14	Kenneth Hines
8 5 18	Hugh Lanham
52 9 26	Benjamin Bennett
30 1 25	Andres Doyle
86 1 1	Nancy Barber
56 5 30	Ernest Kelley
50 1 2	Amanda Wheeler
42 9 20	Aaron Horan
24 5 9	Raymond Perkins
78 8 4	Rufus Flaherty
25 4 18	Frankie Bailey
66 10 13	Joanne Ward
82 11 4	Heidi Flynn
71 4 13	Fred Drake
20 6 10	Arthur Hill
86 4 28	Nicholas Harris
73 0 25	Claudine Jones
25 9 19	Shanelle McDonald
52 4 29	Calvin Boyle
80 4 2	Nancy Watson
54 5 15	Maryalice Porterfield
73 8 12	Charles Campbell
27 2 8	Melissa Graves
64 8 18	Pamela Hines
46 1 20	Catherine Miller
26 4 6	Michael Diaz
42 6 11	Ashley Hernandez
64 5 17	Jean Harris
64 2 8	Jorge Archer
83 9 13	Gary Freeman
24 1 24	Clayton Diaz
83 7 20	Lillian Anderson
19 6 1	Michelle Padilla
14 10 13	Karrie Bowling
81 2 1	Josphine Miller
40 6 19	Robin Huddleston
78 8 24	Lindsey Thompson
46 5 21	Annie Roberts
77 11 25	William Baldwin
59 2 1	Roy Flynn
12 9 0	Casey Casey
56 7 12	Mildred Bennett
47 4 24	Nicolette Williams
37 8 27	Jason Duong
83 7 30	Dani Weaver
40 5 6	Teresa Carr
79 5 19	Zada Nelson
74 6 15	Susan Bennett
29 6 19	Oretha Hughes
63 6 13	Jane Hale
34 4 19	Charlene Fenton
47 9 21	Andre Brown
59 8 3	Jane Thompson
81 4 21	Alma Holland
44 5 22	Joe Green
53 0 27	Laurence Hunt
46 9 24	Jonathan Ross
17 10 9	Walter Moody
34 5 24	Jack Maier
79 3 22	Alejandro Fleming
50 7 1	Charles Harvey
37 10 28	Stasia Ramirez
42 7 4	Anya Wagner
23 7 5	Deborah Holt
19 4 10	Santiago Padilla
38 0 11	Andrew Cooper
64 2 10	Bryant Horowitz
84 9 4	Diane Ross
20 11 18	Shanelle Hutchings
52 6 29	Janet Humphrey
9 7 21	Kathleen Edwards
21 10 25	Rufus Richardson
64 6 9	Krissy Anderson
40 5 8	Jason Coleman
11 6 20	Delaine Neal
57 8 2	Margaret Perkins
62 11 8	Helen Mabry
26 10 17	Helen Hughes
79 8 6	Kevin Richardson
12 8 28	Karrie Roberts
60 6 7	Aubrey Gracia
78 10 29	Terrell Hubbard
36 0 9	Estelle Baker
28 4 19	Kim Vega
77 11 4	Irene Diaz
40 11 16	Roy Ingram
12 0 5	Christine Moran
66 11 14	Jeremy Lopez
69 10 6	Joe Washington
74 7 5	Luz Barth
61 7 20	Amanda Wheeler
38 6 6	Helen Banks
82 1 16	Anthony Garcia
76 0 11	Estelle Harris
24 2 16	Christopher Mccune
18 9 28	Eliana Hubbard
19 6 20	Wilmer Robinson
68 10 9	Amanda Bowen
8 4 1	Dorothy Huddleston
15 0 13	Rachel Harrington
78 0 28	See Harrington
69 2 4	Melita Hughes
87 1 24	Wanda Knight
52 3 21	Aubrey Banks
47 8 11	Nicolette Lamb
78 11 17	Michael Yoon
35 2 19	Eloise Collins
37 4 27	Herma Roland
29 1 22	Shrimply Torres
53 5 17	Christine Ramirez
8 1 15	Valerie Lopez
28 0 11	Marie Bailey
40 3 21	Amanda Holloway
21 1 22	Kim Wheeler
46 8 2	Nancy Henderson
81 9 19	Belinda Meyer
24 8 3	Jane Griffin
11 9 25	Maryalice Richardson
80 1 6	Charles Clark
52 6 30	Shani Campbell
57 1 1	Jorge Vargas
23 7 7	Ernest Faison
28 1 20	Ken Sanders
75 3 26	Maria Willis
26 10 30	Joanne Norman
57 11 18	Marion Clark
70 4 30	Dwayne Barber
63 8 21	Ramiro Payne
64 4 1	Nancy Wright
18 1 18	Kathy Vaughn
86 8 3	Nicholas Ramirez
73 9 18	Angel Bennett
37 9 6	Nicholas Hughes
19 6 23	Jean Huddleston
57 11 7	Grace Maldonado
36 9 4	Ronald Moody
36 9 28	Joanne Lindsey
30 11 17	Terrell Phillips
87 2 30	Joanne Perry
45 3 29	Walter Thomas
13 6 6	Catherine Butler
70 7 4	Helen Nunez
9 3 26	Nancy Sullivan
9 4 24	Santiago Miller
68 9 21	Nelson Murphy
80 11 29	Rebecca Butler
73 11 3	Jorge McDaniel
70 10 16	Kathleen Freeman
10 10 8	Karrie Barnes
18 9 5	Jean Carvalho
68 1 2	Arthur Ball
11 6 11	Benjamin Walker
66 0 14	Andre Parker
56 5 0	Nicholas Evans
54 4 22	Rufus Patterson
90 1 21	Santiago Torres
