3193
39 2 30	Nicholas Watson
49 5 0	Patricia Hines
45 6 27	Nancy Hale
55 5 8	Alan Vargas
81 0 21	Andrew Marsh
32 0 12	Pamala Lopez
31 5 9	Jane Hardy
49 9 30	Annie Coleman
11 2 4	Irene Humphrey
45 10 7	Diane Moody
61 7 26	Nancy Jones
66 4 3	Gregory Main
19 8 8	Rafael Sherman
51 4 28	Luz Caraballo
16 3 0	Alice Marsh
32 0 5	Devin Morris
18 1 16	Alejandro Holt
30 2 5	Heidi Sterling
52 1 2	Felipe Flowers
43 9 16	Katherine Evans
42 7 27	See Flowers
13 9 27	Jane Roberts
23 7 5	Eugenia Mabry
85 2 28	Clark Lane
30 2 4	Jane Dennis
81 3 26	Natasha Hudson
44 2 29	Luz Baker
75 7 22	Angel Bass
54 5 30	Christine Tate
25 11 14	Amanda Jackson
13 7 14	Jorge Dean
85 10 29	Amanda Rodriguez
30 11 22	Candelaria Green
82 9 14	Marion Peterson
45 9 19	Natalie Harrington
55 2 19	Cynthia Bennett
73 11 28	Denise Diaz
12 10 26	Patricia Moore
76 8 29	Gregory Simmons
71 3 29	Irene Rodriguez
37 4 12	Sherri Brockman
69 8 29	Natasha Richardson
66 9 2	Eloise Flaherty
66 8 17	Eileen Hollins
73 11 25	Bryant Jackson
43 0 11	Dani Faison
21 7 25	Benjamin Drake
82 2 21	Fred Harvey
38 2 18	Delaine Brown
13 7 29	Annie Vaughn
30 3 21	Amanda Simmons
69 3 11	Wayne Watson
15 8 19	Terrell Rodriguez
33 11 5	Carl Baker
81 7 8	Krissy Maldonado
89 11 9	David Hutchings
86 8 8	Steve Aguilar
19 7 0	Robin Price
50 11 9	Lila Perkins
75 0 27	Belinda Young
57 1 27	Khadijah Tate
15 3 2	Alejandro Dean
30 10 28	Terry Harris
24 9 3	Mary Carter
85 7 7	Jose Horowitz
81 5 3	Angelika Medina
38 4 22	Jennifer Lewis
17 6 21	Ryan Cox
37 1 30	Katherine Goodrich
81 8 6	Joshua Carr
20 0 6	Shrimply Price
13 8 7	Ella Maldonado
75 3 6	Hugh Lee
14 2 2	Felipe Adams
36 10 13	Clark Humphrey
83 9 23	Ken Arevalo
56 9 26	Stephenie Sullivan
9 10 1	David Norman
70 5 15	Charlene Hollins
50 1 6	Lindsey Sanders
74 4 12	Marion Lewis
78 10 30	Jackie Cox
33 2 20	Gerard Diaz
32 0 28	George Hall
83 3 5	Treva Morris
48 1 4	Niki Aaron
11 4 5	Adam Alvarado
61 1 2	Jacqueline Henderson
57 7 6	Terry Sanders
14 10 16	Gordon Richardson
8 10 20	Jean Vaughn
28 4 3	Melita Ruiz
20 8 16	Doris Nunez
33 10 29	Glennis Arevalo
72 4 29	Barbara Reeves
44 2 12	Angel Cook
28 10 9	Rebecca Wilkins
69 3 17	Darrin Wood
56 7 25	Norman Robinson
66 8 15	Deborah Webb
78 3 22	Jennifer Lane
56 0 17	Jane Boyle
72 10 8	Carley Hampton
83 9 2	Elijah King
42 5 3	Amanda Butler
63 11 0	Darrin Peterson
48 5 8	Jose Ball
56 10 29	Mary Tate
17 7 25	Wilson Roy
25 2 26	Mary Rogers
48 3 13	Sophia Weaver
87 7 24	Wilmer Edwards
48 2 17	Roy Brown
63 8 27	Edward Lewis
14 11 3	Joshua Edwards
73 7 24	Karrie Watson
43 8 22	Samual Gray
65 10 30	Estelle Mabry
60 11 15	Barbara McDonald
37 4 14	Natalie Huddleston
71 9 6	Natalie Williams
69 9 28	Pamala Martinez
61 4 7	Angel Medina
31 10 21	Eugene Dennis
82 10 2	Joanne Thompson
37 2 13	Jorge Jenkins
71 2 8	Eugenia Lopez
44 2 4	Johnny Rivera
9 2 8	Ken Horan
58 0 1	Hsiu Faison
88 9 7	Jane Barrett
41 1 23	Ryan Robinson
51 0 22	Lynn Horowitz
21 5 14	Randee Pibbles
90 11 26	Rachel Holland
21 8 2	Kevin Wood
81 2 24	Charlene Price
9 8 17	See Payne
10 11 21	Gerard Harrison
87 4 22	Charlene Morris
75 7 15	Wilmer Gonzales
21 3 16	Clayton Fenton
63 7 22	Rafael Hughes
73 3 10	Nancy Reid
33 8 21	Grace Holt
88 5 13	Clayton Horan
73 5 30	Barbara Bowen
50 5 12	Earl Russell
49 7 27	Lynn Morris
63 6 29	Timothy Peters
68 11 30	Dani Jackson
73 2 7	Sophia Steadman
38 11 22	Mildred Benton
25 8 5	Julie Vega
30 7 18	Kelly Townsend
53 0 27	Natalie Rhodes
74 9 20	Natalie Thompson
62 4 7	Michael Harris
83 9 3	Jeremy Vaughn
42 10 29	Luz Thompson
11 7 16	Roy Young
46 10 18	Johnny Long
13 2 11	Gary Diaz
54 1 9	Deborah Roy
40 5 10	Diana Ruiz
76 1 18	Jack Dean
21 1 2	Patti Bailey
53 2 30	Edward Ruiz
50 8 25	Janice Gonzalez
20 10 30	Ella Casey
65 2 25	Marilyn Duong
57 4 0	Melissa Roland
45 3 12	Sophia Baker
47 3 2	Lindsey Whitworth
39 3 16	Nancy Blanton
49 9 0	See Bailey
43 2 22	Wanda Phillips
47 0 16	Richard Benton
67 1 23	Nicolette Flaherty
35 11 18	Gordon Smith
42 11 21	Lynn Tiller
52 11 29	Martin Hines
42 0 9	Dorothy Duong
66 10 24	Richard Bass
25 3 20	Dani Scott
84 8 2	Cecil Boyle
48 0 16	Dorothy Watson
47 0 18	Bobby Holt
13 6 22	Nancy Barrett
68 5 4	Laurence Baker
79 11 3	Santiago Campbell
28 5 15	Marshall Diaz
15 1 16	Jorge Henderson
54 8 6	Santiago Foster
49 11 20	Sherri Benton
77 8 28	Katherine Parker
61 7 6	Cynthia Dennis
68 2 5	Christine Henderson
79 10 30	Michelle Brooks
47 10 3	Wade Brooks
69 5 18	Frankie Johnson
9 10 12	Andre Brockman
71 0 19	Marie Steadman
15 9 5	Estelle Vega
17 7 5	Rufus Scott
50 6 29	Lucia Gonzalez
89 5 18	Brian Ward
36 11 3	Annie Holland
65 11 23	Cheryl Graves
71 7 4	Sharon Price
18 6 27	Jennifer Campbell
86 8 25	Andres Rodriguez
55 2 22	Eugene Green
56 1 19	Eugenia Dunn
9 5 26	Fred Baldwin
85 3 0	Myron Ingram
59 2 27	Lillian Alvarado
18 8 11	Patricia Hindman
31 4 26	Rachel Whitworth
34 1 7	Lila Collins
49 0 0	Alice Barth
55 3 30	Roy Evans
49 3 9	George Dennis
88 9 0	Eileen Turner
22 3 28	Zada Roberts
46 4 0	Diana Steadman
86 10 15	Betty Coleman
32 9 25	Anthony Peters
41 3 11	Kathy Wagner
51 1 25	Frankie Hollins
53 3 28	Diana Reid
85 11 27	Samual Flynn
22 4 23	Judith Hill
14 3 6	Gregory Barrett
57 4 27	Terry Olvera
34 3 26	Norman Bennett
77 4 25	Anya Main
61 2 23	Wilmer Richardson
31 6 18	Mary Benton
80 3 25	Gregory Rivera
75 3 13	Jason Blanton
44 3 28	Jorge Archer
47 10 16	Calvin Wheeler
64 7 24	Kevin Shuman
51 5 23	Anthony Cox
86 11 24	Michelle Arevalo
80 1 29	Alycia Lewis
13 0 2	Jason Harris
41 1 19	Michael Kelly
14 0 8	Lillian Platt
8 10 1	Grace Meyer
11 7 22	Rebecca Steadman
50 6 7	Pat Brown
14 1 9	Herma Hamilton
64 10 21	Deborah Knight
43 3 23	Jackeline Payne
22 5 8	Calvin Roberts
24 9 29	Vera Ball
59 0 17	Pamala Shuman
19 5 12	Nicholas Rodriguez
9 1 3	Stephenie Payne
31 5 12	Ken Wilkins
10 7 23	Marshall Hardy
69 6 25	Max Barth
48 7 29	Ernest Drake
85 6 7	Brandon Barlow
71 9 12	Jacqulyn Taylor
56 4 1	Anya Garcia
36 5 25	Erica Sterling
16 1 16	Samual Johnson
59 10 23	Alejandro Davis
70 9 1	Jose Washington
23 8 29	Levi Martin
68 0 29	David Morgan
38 6 9	Bryant Torres
46 0 6	Mary Hill
89 8 2	Claudine Reddick
84 10 23	Kathy Hale
38 7 17	See Evans
85 5 19	Devin Long
13 9 0	Donald Duong
23 7 1	Clarence Grantham
34 3 19	Mildred Faison
29 11 27	Marshall Lindsey
69 1 30	Brian Russell
33 0 25	Lonnie Knight
84 1 27	Janice Collins
16 7 30	Laurence Flowers
58 5 25	Grace Flynn
8 11 23	Diane Lanham
31 5 27	Grace Price
19 11 5	Betty Diaz
25 2 10	Kim Torres
48 9 3	Ken Reyes
19 1 25	Val Alexander
16 4 18	Timothy Holland
55 2 1	Carley Peterson
27 4 10	Diana Rodriguez
12 5 5	Wade Seymore
69 4 1	Christine Campbell
13 10 28	Salvador Drake
72 2 24	Jackeline Griffin
64 6 9	Aida Dean
47 11 23	Sophia Rodriguez
90 10 14	Timothy Sanders
82 6 26	Martin Steadman
67 3 25	Elvina Grantham
76 2 21	Casey Gonzales
61 11 28	Ken Kelly
41 6 4	Diane Ruiz
32 0 19	Earnest Barnes
82 9 22	Angel Harris
62 9 7	Krissy Brockman
77 7 6	Kevin Main
85 0 22	Joe Reeves
30 5 28	Clayton Harris
61 7 14	Martin Carr
89 5 24	William Hubbard
22 0 3	Jackie Brooks
51 5 26	Heidi Flores
81 10 6	Delaine Lindsey
86 11 12	Jose Rogers
68 7 4	Andrew Lopez
55 10 22	Diane Lopez
50 6 24	Gerard Butler
63 11 16	Tracy Fleming
58 7 5	Robin Hunt
34 7 9	Jean Price
88 4 10	Zachary Barnes
55 8 3	Dennis Parker
33 8 4	Ernest Bailey
60 8 13	Mary Hampton
85 5 10	Alejandro Clark
80 10 27	Herma Gonzalez
55 9 14	Jeremy Bowen
70 2 1	Jack Pulliam
54 9 21	Irene Simmons
22 1 12	Ernest Cook
18 0 26	Mary Gracia
33 10 26	Charlene Thomas
27 2 14	Khadijah Kelley
29 4 6	Diane Harrison
56 2 25	Andres Steadman
23 8 2	Norman Holt
47 1 10	Gordon Bass
64 10 5	Alycia Payne
23 6 28	Kathy Hampton
81 7 1	Terence Griffin
18 0 0	Melissa Wheeler
59 0 8	Kimberly Martin
68 9 24	Natasha Jenkins
52 4 29	Luz Fleming
57 5 11	Casey Lee
82 8 21	Nelson Richardson
53 4 14	Lila Duong
57 8 21	Martin Medina
51 2 29	Dani Hindman
27 4 14	Ivan Drake
31 7 16	Kevin Green
74 0 23	Timmy Duong
17 10 16	Lila Mitchell
28 1 23	Rosie Ward
22 2 17	Joe Shuman
46 11 16	Sophia Lindsey
76 11 26	Jean Bennett
81 3 24	Wilmer Marsh
31 6 7	Ronald Mabry
69 11 25	David Jones
70 8 10	Spencer Young
14 4 30	Darrin Reed
25 9 7	Spencer Jenkins
61 1 13	Robin Barber
51 9 24	Christopher Roberts
24 5 25	Dorothy Kelly
9 5 2	Anna Powell
22 2 7	Annie Young
58 1 8	Jenifer Hindman
51 4 24	Angel Flowers
32 1 15	Edward Grantham
46 6 22	Cheryl Lamb
48 1 18	George Hale
82 3 27	Natasha Walker
18 6 1	Kasie James
26 5 29	Ken Main
67 0 20	Jane Carter
11 9 19	Jeni Whitworth
75 2 18	Belinda Martin
8 11 15	Niki Evans
80 10 7	Martin Steadman
44 10 30	Jorge Bryant
42 2 11	Eileen Sullivan
79 6 30	Treva Mitchell
15 0 25	Maryalice Vega
85 2 0	Mary Harrington
30 6 10	Clarence Fleming
52 0 26	Luz Sherman
81 9 4	Laura Fenton
75 6 4	Rose Rogers
38 1 8	Shanelle Edwards
71 8 18	Brian Neal
49 11 4	Lindsay Griffin
27 6 7	Patti Tiller
69 3 21	Mary King
88 6 14	Clark Porterfield
41 0 5	Dorothy Lindsey
49 0 14	Teresa Young
29 11 14	Johnathan Fenton
88 4 14	Andres Hamilton
47 5 19	Gary Hudson
48 0 5	Jennifer Horan
72 1 3	Irene Barrett
23 9 18	Eugenia Thompson
10 3 24	Ryan Rogers
65 7 13	Deborah Lee
64 6 25	Jason Carvalho
52 2 23	Heidi Humphrey
38 11 24	Sophia Browne
34 2 24	Carl Evans
12 3 23	Shani Ruiz
53 11 23	Roy Bass
55 4 12	Jacqueline Hardy
38 3 1	Delaine Baumann
30 7 3	Dennis Hill
77 4 11	Jose McDonald
32 5 22	Gregory King
19 2 20	Inez Barlow
8 10 1	Ashley Hampton
20 4 27	Karrie Young
27 10 29	Marie Henderson
54 3 8	Nicholas Hutchings
33 6 8	Kathy Blanton
12 5 3	Margaret Davis
9 4 16	Denise Stokes
66 7 17	Clarence Harris
39 6 24	Benjamin Perry
9 4 6	Angie Orosco
30 2 16	Jackeline Diaz
47 3 7	Lucia Hill
53 9 18	Joshua Franklin
73 1 15	Willie Richardson
51 4 15	Lillian Robinson
65 8 25	Zachary Hamilton
82 9 0	Alycia Roy
80 2 2	Lonnie Willis
65 9 12	Pat Bailey
84 9 23	Sophia Alexander
66 9 22	Benjamin Boyle
40 10 23	Michael Butler
38 10 4	Estelle Kelley
84 7 11	Howard Alvarado
49 2 28	Hsiu Ruiz
61 3 1	Calvin Hernandez
50 5 8	Lila Reyes
46 9 5	Calvin Perkins
67 10 5	Gordon Boyle
75 8 8	Levi Gracia
67 1 4	Clark Dennis
44 1 29	Shrimply Anderson
14 9 15	Angelika White
25 8 5	Angel Reed
68 9 21	Dani Mccune
79 10 14	Joe Tackett
68 4 24	Laura Wilkins
11 4 16	Jack Sanders
32 9 7	Andres Freeman
63 3 22	Rafael Rogers
38 1 6	Benjamin Clark
18 6 23	Margaret Marsh
14 1 28	Andrea Benton
16 6 16	Julie Holland
52 5 30	Val Turner
9 8 30	Aida Reyes
41 10 15	Val Ross
53 11 22	Germaine Murphy
73 3 23	Eugenia Anderson
46 1 7	Valerie Howard
48 1 6	Angie Ball
44 6 2	Katherine Lamb
64 9 21	Ramiro Sherman
28 7 4	Karrie Howard
40 11 8	Nicolette Baker
76 3 2	Lucia Lanham
8 7 27	Lonnie Steadman
37 6 29	Jane Griffin
47 6 2	Sarah Caraballo
9 11 17	Ivan Simpson
79 6 4	Wayne Pulliam
56 6 8	Doris Evans
30 4 18	Kimberly Davis
49 8 29	Stasia James
27 9 9	Antoinette Simmons
18 4 29	Jeni Campbell
23 6 3	Richard Hunt
29 0 16	Elvina Hollins
11 8 29	Martha Blanton
37 8 29	Wayne Perry
24 1 21	David Bailey
11 11 18	Kasie Copeland
24 11 8	Willie Nunez
67 4 1	Estelle Barber
25 6 14	Clarence Paul
22 9 19	George Reed
66 0 6	Janice Reeves
55 8 15	Melissa Hall
76 6 18	Joshua Perry
18 11 10	Clark Huddleston
21 1 3	Lindsey Robinson
83 1 22	Roger Sherman
84 1 15	Robin Tiller
39 9 0	Wanda Williams
21 3 20	Helen Moran
79 10 3	Kevin Adams
41 1 15	Salvador Griffin
78 7 6	Timothy Bennett
83 2 4	Frankie Fleming
52 2 18	Karrie White
90 1 21	Belinda Wagner
49 0 19	Kelly Cook
32 6 22	Karen Holland
88 0 21	Bryant Hines
70 2 5	Clarence Graves
89 10 24	Marshall Flaherty
19 7 2	Martha Browne
28 7 6	Jenifer Butler
79 7 15	Joshua Howard
17 0 17	Eliana Cox
23 1 15	Hsiu Russell
71 3 29	Sarah Miller
8 6 20	Janice Evans
83 5 13	Edward Hughes
53 3 25	Santiago Allen
16 2 16	Marilyn Archer
57 3 18	Adam Ross
9 2 12	Wayne Hindman
82 5 21	Diane Jones
15 9 28	Lonnie Reeves
29 5 2	Sophia Neal
48 8 5	Mary Lewis
34 6 7	Benjamin Flaherty
10 0 30	Alice Davis
31 4 11	Jane Torres
52 10 4	Betty Seymore
48 8 24	Rosie Dennis
53 0 0	Dawne Sterling
58 2 18	Jackie Rhodes
29 4 12	Betty Wright
26 2 22	Shanelle Thompson
54 8 6	Kim Vega
72 4 14	See Cooper
18 5 5	Janet Brockman
16 7 20	Alice Vaughn
26 7 0	Collen Copeland
68 11 19	Antoinette Phillips
87 4 23	Rafael Lindsey
59 10 25	Jason Dennis
70 6 13	Nicholas Gonzalez
11 1 29	Joe Hunt
35 7 21	Roy Dunn
54 4 24	Bobby Horowitz
15 7 3	Wayne Dennis
11 9 20	Lillian Knight
34 3 3	Gerard Fenton
38 7 24	Charlene Miller
74 1 25	Josphine Maldonado
80 5 3	Norman Moore
56 11 12	Randee Reeves
83 3 8	Marshall Moody
9 8 4	Arthur Banks
85 9 13	Earl Russell
56 8 4	Nicholas Harris
52 8 9	Kelly Meyer
17 6 28	Deborah Bowen
26 2 8	Nancy Taylor
66 6 11	Alan Alvarado
73 6 16	Howard Barrett
28 6 10	David Cox
23 6 5	Julie Freeman
66 9 16	Wanda Reddick
52 2 27	Martha Main
71 2 4	Yuonne Sherman
72 7 28	Julie Hubbard
19 6 17	Bryant Henderson
60 6 17	Cheryl Baker
53 7 11	Terrell Martinez
20 5 20	Rachel Gray
39 7 5	Martin Hunt
61 6 10	Mary Adams
23 2 28	See Bell
56 2 28	Ashley Sanchez
13 8 18	Mary George
8 4 18	Pat Horan
32 1 13	Julie Browne
36 11 7	Candelaria Payne
81 2 5	Rufus Hindman
52 4 23	Catherine Townsend
16 2 12	Kimberly Lamb
8 9 17	Elvina Duong
15 3 19	Lonnie Alvarado
29 8 24	Mary Maldonado
56 9 14	Natasha Torres
76 1 17	Wilmer Hunt
86 5 12	Steve Jackson
54 3 25	Erica Flores
9 2 27	Betty Platt
24 10 15	Chris Browne
78 4 5	Dexter Scott
71 1 20	Deborah Sterling
46 10 15	Germaine Fleming
28 3 30	Alycia Flores
19 7 11	Randee Yoon
78 11 18	Mary Price
24 8 15	Candelaria Vargas
40 8 21	Tracy Flynn
43 5 5	Deborah Flynn
68 1 4	Terrell Shuman
67 7 7	Dwayne Harvey
51 7 10	Ken Franklin
46 3 26	Marilyn Wright
88 2 30	Tracy Morris
44 2 27	Claudine Kelley
13 0 10	Rebecca Caraballo
35 11 11	Salvador Buchanan
20 6 13	Melissa Stewart
14 1 14	Annie Lewis
47 1 20	Carl Brown
72 9 23	Betty Platt
40 3 8	Diana Cooper
31 9 23	Marie Grantham
14 0 9	Earl Richardson
48 1 1	Ivan Scott
14 7 22	Christine Bryant
10 5 21	Ramiro Brown
53 10 29	Claudine Collins
52 7 30	Lila Murphy
50 6 12	Teresa Martinez
24 9 11	Martin Walters
34 8 2	Annie Morgan
66 4 29	David Alexander
31 6 10	Jackeline Hale
49 1 15	Christine Horowitz
49 9 6	Maria Harrington
78 6 3	Alma Russell
44 1 3	Earl Garcia
75 8 18	Christine Walters
20 2 22	Jorge Reeves
48 0 12	Clark Gracia
17 3 24	Casey Jenkins
10 10 11	Laurence Collins
25 2 7	Dani Young
40 7 30	Annie Dean
14 10 29	David Howard
44 2 7	Julie Henderson
16 7 21	Earnest Simpson
51 6 23	Deborah Phillips
18 3 20	Rosie Wood
83 8 0	Annie Hines
51 3 1	Angelika Taylor
88 8 25	Hugh Neal
40 2 18	David Taylor
35 6 11	Natasha White
84 10 14	Kelly George
61 6 23	Aaron Torres
41 1 9	Catherine Seymore
31 10 22	Spencer Meyer
30 2 26	Glennis Ingram
12 2 21	Julie Horowitz
70 5 9	Jennifer Dennis
73 4 11	Nicholas Perry
43 10 21	Cheryl Peterson
57 10 22	Yuonne Williams
59 1 20	Heidi Wright
25 7 16	Frankie Banks
41 0 25	Aida Hernandez
15 5 28	Wade Faison
59 5 29	Dwayne Reddick
16 7 18	Pamela Thomas
45 2 6	Robin Lamb
21 9 19	Rosie Horan
22 7 16	Joshua Norman
77 4 27	Eileen Huddleston
25 5 20	Roger Marsh
20 10 7	Terry Wheeler
37 4 5	Alan James
57 9 17	Carl Griffin
58 1 17	Stephenie Grantham
17 1 7	Pamela Sherman
14 8 1	Alan Murphy
41 8 18	Wanda Paul
65 6 13	Carley Vega
21 8 23	Randee Wilson
55 11 5	Margaret Mabry
71 0 17	Pamala Casey
85 11 11	Ronald Rivera
64 4 19	Brandon Flores
35 6 30	Natasha Hill
59 2 20	Tammy Hindman
36 10 25	Richard Cooper
10 3 6	Terence Lanham
11 1 23	Jose Vega
49 6 24	Gregory Bennett
11 3 10	Myron Shuman
72 2 15	Andres Bryant
63 6 30	Shani Main
78 8 16	Anya Baumann
30 1 7	Tammy Martin
23 1 5	Willie Webb
66 10 14	Susan Griffin
44 11 14	Dexter Moran
57 9 24	Karen Russell
86 10 15	Diana Browne
11 0 30	Eloise Tate
36 5 26	Lindsey Reddick
67 9 20	Kathleen Meyer
88 5 26	Melita Powell
88 6 5	Shani Henderson
23 6 16	Kevin Anderson
52 1 22	Andre Norman
53 7 24	Martin Evans
19 5 26	Janice Ingram
12 9 10	Pamala Jackson
58 5 10	Alice Smith
57 8 13	Clark Carr
11 1 3	Michelle Baker
9 2 20	George Martinez
78 1 21	Glennis Barber
64 1 27	Heidi Dean
77 9 16	Kevin Wilson
27 5 14	Angel Flowers
87 9 29	Joe Hamilton
46 2 22	Donald Diaz
13 4 10	Roger Morgan
81 3 1	Patti Murphy
14 5 25	Terrell Williams
69 6 17	Anya Gonzalez
55 3 21	Sherri Hampton
79 5 3	Jennifer Pibbles
14 8 3	Nicolette Peterson
24 6 1	Ken Smith
27 10 11	Luz Peters
79 4 8	Eileen Moran
87 4 8	Karrie Bowen
45 3 13	Ken Green
35 5 18	Earl Tiller
67 10 17	Mary Nunez
61 4 10	Darrin George
73 1 22	Valerie Holt
17 4 17	Wilmer Gonzales
53 3 25	Carl Paul
39 7 9	Nelson Medina
29 8 5	Alan Lewis
68 1 10	Patti Johnson
58 4 5	Laura Flores
85 6 29	Mary Lee
14 1 7	Nicolette Edwards
49 9 25	Casey Barlow
63 1 14	Ronald Butler
8 3 29	Wilmer Brooks
84 5 2	Johnny Ramirez
77 8 24	Jason Hughes
45 9 9	Luz Gonzales
78 11 15	Dennis Foster
25 4 18	Cecil Archer
36 7 25	Marion Kelley
29 9 9	Wade Meyer
76 10 18	Nancy Parker
11 2 14	Samual Walters
48 5 17	Howard Bennett
56 6 25	Elijah Cooper
21 1 0	Nicholas Foster
31 9 23	Andres Mccune
18 9 4	Delaine Hampton
52 2 14	Krissy McDaniel
66 9 26	Val Weaver
56 8 6	Lillian Miller
35 2 25	Karrie Hughes
39 2 20	Terry Flynn
65 6 22	Collen Ruiz
86 5 27	Carl Barnes
35 7 15	Nelson Thompson
60 5 24	Zachary Perry
35 0 15	Catherine Griffin
51 11 24	Myron Hamilton
37 8 30	Herma Tiller
82 0 8	David Willis
16 6 19	Wanda Cox
15 11 8	Fred Kelley
47 1 12	Angie Graves
85 10 4	Sophia Harris
53 4 23	Marshall Dean
51 5 28	Christine Fleming
90 9 17	Maryalice Davis
16 6 8	Jose Humphrey
76 9 1	Jacqueline Wilson
53 4 17	Treva Caraballo
78 1 30	Deborah Wilson
81 9 11	Angel Maldonado
53 3 27	Bryant Moran
30 1 5	Martha Reeves
16 2 20	Pamela Collins
31 10 16	Wade Russell
26 7 26	Nancy Hindman
57 6 27	Janet Hughes
81 9 4	Delaine Webb
82 11 19	Spencer Sterling
37 2 23	Roger Grantham
36 4 9	Glennis Browne
57 4 26	Janice Boyle
77 0 23	Shanelle Hines
40 7 22	Dwayne Archer
89 4 1	Gerard Ramirez
34 4 21	Raymond Wilkins
47 11 23	Helen Rodriguez
25 7 3	Patti Roland
89 7 7	Kenneth Garcia
64 10 29	Nicholas Washington
31 0 18	Nancy Watson
9 8 12	Jean Roland
88 10 2	Ernest Taylor
19 10 29	Terence Harrington
83 8 27	Lucia Mitchell
79 8 0	Brandon Brockman
85 6 29	Mildred Price
51 10 11	Kevin Gracia
83 11 11	Lillian Ramirez
75 11 3	Doris Campbell
49 5 5	Valerie Tiller
84 2 14	Christopher Hollins
52 7 23	Alycia Paul
26 0 17	Johnny Butler
85 6 18	Joshua Rodriguez
62 3 9	Janet Medina
87 5 14	Patti Thompson
26 8 15	Mary Pulliam
15 9 16	Clarence Horowitz
79 10 19	David Baldwin
57 3 16	Dwayne Parker
29 4 18	Ken Moody
55 8 22	Dwayne Goodrich
39 10 20	Clayton Brown
34 8 19	Alan Evans
68 3 29	Margaret Dennis
80 11 2	Lila Hall
69 1 20	Sophia Benton
18 9 1	Roy Lane
33 6 0	Dwayne Barth
25 5 22	Jenifer Caraballo
14 3 7	Ella Taylor
72 4 5	Fred Torres
25 4 15	Maryalice Willis
24 9 9	Calvin Reyes
12 10 19	Dennis Bailey
70 4 12	Rosie Bryant
86 0 7	Lindsey Hudson
82 2 2	Alan Flaherty
31 8 14	Jeni Roy
19 3 3	Norman Goodrich
90 2 0	Annie Robinson
36 9 18	Vera Tate
41 2 22	Myron Rivera
64 4 12	Sophia Flowers
83 4 8	Germaine Lee
52 10 27	Teresa Weaver
63 0 27	Calvin Miller
71 6 0	Earl Robinson
88 6 23	Joanne Gonzales
75 9 15	Darrin Patterson
65 8 29	Kenneth Jones
53 2 6	Brandon Kelley
55 6 30	Eugenia Reid
50 4 5	Rufus Taylor
79 3 14	Pamala Johnson
87 1 27	Niki Lanham
23 4 17	Dani Main
58 2 24	Kim Flores
60 5 21	Helen Meyer
45 11 21	Ernest Barlow
9 2 24	Alan Buchanan
16 2 3	Charlene Seymore
79 7 7	Irene Bennett
33 4 21	Earl Campbell
9 11 1	Kimberly Parker
42 8 12	Marion Moore
35 7 10	Jackeline Grantham
51 8 14	Michelle Kelly
85 0 17	Lucia Caraballo
17 4 25	Joshua Hutchings
48 3 16	Martin Walker
71 4 24	Brandon Russell
50 5 6	Andrew Goodrich
76 5 5	Nancy Stokes
84 0 12	Gerard Hughes
81 9 4	Martin Washington
31 3 5	Aubrey Rodriguez
90 8 2	Elijah Humphrey
89 7 4	Niki Bass
36 7 10	Irene Harris
19 9 10	Jeni Harrison
26 3 21	Wilson Campbell
30 1 2	Mary Johnson
79 7 27	Carley Shuman
44 0 14	Jacqueline Walker
61 8 5	Salvador Hernandez
17 10 18	Melita Peters
90 9 3	Jenifer Doyle
10 2 5	Lonnie Shuman
34 1 5	Charles Sanders
25 9 11	Angelika Allen
84 11 17	Christopher Padilla
8 4 2	Zada Neal
33 3 3	Terry Thompson
33 2 1	Kelly Padilla
26 1 15	Collen Roy
83 9 21	Cecil Kelly
80 3 20	Bryant Taylor
88 1 0	Kelly Barrett
75 11 22	Terence Campbell
12 1 18	Alejandro Adams
12 6 29	Andres Reed
31 6 16	Joanne Steadman
50 6 19	Katherine Dean
84 6 30	Delaine Olvera
43 9 1	Mary Harvey
62 9 18	Laura Gracia
58 6 16	William Lindsey
80 6 30	Delaine Jackson
11 4 4	Diane Simmons
64 5 18	Edward Townsend
53 6 19	Janet Willis
79 4 5	Deborah Lamb
84 10 27	Rachel Richardson
38 5 7	Frankie Murphy
37 11 30	Mary Bennett
16 6 21	Hsiu Alvarado
61 10 19	Deborah Meyer
31 8 4	Krissy Porterfield
46 3 20	Timmy Jackson
69 4 0	Marilyn Long
47 10 18	Inez Griffin
17 2 28	Willie Wood
66 1 9	Alma Barlow
47 0 9	Anna Richardson
45 8 26	Charlene Vega
13 7 2	Johnny Boyle
51 1 1	Vera Campbell
39 2 4	Tammy Hindman
80 0 28	Herma Archer
21 9 27	Eliana Hughes
59 5 17	Lonnie Browne
27 10 9	Aida Fleming
16 6 10	Angel Martin
55 1 2	Levi Gray
60 9 26	Howard Ingram
26 7 21	Rose Roberts
34 8 1	Erica Barth
23 3 13	Kathy Morgan
15 7 17	Luz Townsend
17 1 25	Nicolette Perez
60 0 30	Lila Patterson
31 5 15	William Perkins
87 0 15	Laura Gray
58 10 7	Ken Hardy
82 9 19	Carley Tate
88 10 30	Calvin Moody
24 10 15	Lindsay Williams
53 6 20	Nicholas Pibbles
32 2 9	Robin Faison
56 5 20	Hsiu Hernandez
35 9 14	Clarence Peterson
49 0 16	Jennifer Clark
27 2 7	Niki James
30 7 11	Martin Hudson
16 8 9	Wilson Bass
25 4 22	Jacqueline Evans
23 8 2	Sarah Arevalo
25 8 16	Sophia Bowling
28 3 22	Carl Banks
