3430
29 6 7	Myron Dunn
17 8 8	Nelson Long
86 0 29	Alejandro Wilson
34 1 24	Brian Hill
56 11 27	Ivan Gray
79 1 21	Pamala Ross
60 10 10	Nicholas Vargas
80 2 24	Shrimply Reeves
63 4 27	Michael Dean
51 2 5	Lonnie Flynn
43 11 8	Angel Wheeler
8 1 27	Kimberly Seymore
27 2 5	Melita Rhodes
66 0 24	Delaine Martin
18 9 18	Kathy Moran
11 0 15	Rosie Harris
29 2 29	Dani Vega
81 0 4	Angie Ward
70 9 5	Carl Hughes
23 8 5	Julie Pulliam
18 11 16	Barbara Jones
65 8 2	Marion Simpson
84 8 10	Julie Lopez
36 1 9	Samual Butler
12 2 6	Jackeline Harrington
47 1 15	Laurence Lanham
17 1 24	Dennis Adams
56 5 25	Maryalice Sanchez
26 9 22	Alejandro Jenkins
49 8 5	Jane Ward
65 0 24	Wade Turner
51 8 28	Angelika Flores
61 7 21	Aida Barrett
29 2 21	Niki Norman
80 6 24	Hugh Butler
80 3 30	Charlene Taylor
27 2 21	Julie Orosco
18 11 16	Jonathan Harrison
58 3 18	Randee Rodriguez
75 9 10	Aida Hutchings
52 9 14	Diane Roland
85 5 15	Claudine Patterson
43 6 25	Marion Williams
80 8 4	David Barrett
78 8 20	Grace Sherman
9 6 23	Andre Marsh
73 2 2	Richard Cook
90 5 29	Kevin Perez
52 0 1	Candelaria Padilla
57 6 17	Kasie Baldwin
53 3 23	Teresa Hughes
52 6 0	Ivan Cox
25 11 18	Estelle Freeman
52 11 19	Julie Wheeler
20 8 3	Walter Jenkins
33 6 22	Wilson Caraballo
33 6 14	Maddie Faison
12 2 21	Jack Murphy
66 6 12	Diane Alvarado
53 4 19	Felipe Kelley
37 5 28	Clayton Townsend
25 10 20	Khadijah Price
65 3 0	William Wood
60 2 2	Gary Gracia
25 6 11	Anthony Phillips
53 4 25	Lucia Hughes
23 4 30	Gary Long
19 9 8	Charlene Kelley
10 4 22	Nicolette Griffin
49 5 7	Alan Neal
65 4 18	Howard Franklin
31 1 30	Grace Kelly
35 8 12	Mary Brown
50 8 23	Luz Maldonado
43 9 24	Tammy Neal
12 8 23	Joe Webb
61 10 6	Lillian Main
13 4 10	Samual Reeves
15 9 17	Nancy Grantham
43 6 7	Kevin Bowen
78 4 4	Clark Tackett
66 1 15	Gerard Brockman
37 11 20	Helen Lewis
87 7 19	Aubrey Sterling
41 10 26	Martin Young
85 1 13	Aida Hampton
56 8 27	Marie Thompson
9 9 24	Stephenie Jackson
35 8 25	Patricia Hughes
56 0 4	Josphine Hutchings
82 1 16	Andres Fleming
37 11 22	Fred Sanchez
72 8 28	Michael Powell
58 10 25	Teresa Kelly
47 2 4	Santiago Hughes
21 3 24	Denise Harrington
72 7 20	Adam Padilla
52 9 5	Hsiu Mitchell
58 2 17	Samual Thompson
60 9 7	Ella Perez
39 8 9	Howard Peters
18 1 28	Anthony Aaron
8 9 21	Heidi Townsend
43 3 29	Randee Hamilton
10 6 15	Carley Allen
75 3 18	Clayton Maldonado
60 0 0	Janet Smith
83 1 15	Charles Ball
37 9 15	Brandon Reed
57 8 10	Terence Kelly
27 9 28	Rosie Porterfield
10 6 20	Steve Hughes
75 8 16	Katherine Dean
58 7 15	Ryan Brockman
51 1 13	Deborah Cooper
23 8 22	Wayne Lamb
29 9 11	Clayton Copeland
53 8 1	Jackie Casey
55 4 28	Terry Dennis
16 0 6	Eileen Meyer
83 0 19	Shanelle Bowen
23 6 8	Inez Hill
18 5 7	Devin Martinez
49 10 15	Bobby Long
24 2 7	Chris Hale
41 5 22	Jorge Maier
46 2 30	Rufus Tiller
28 10 20	See Williams
52 5 17	Sophia Walker
90 2 23	Sophia Edwards
64 9 23	Jenifer Murphy
30 11 15	Barbara Drake
28 1 7	Oretha Brooks
72 7 26	Nicholas Willis
12 9 24	Karen Cooper
24 10 8	Jennifer James
85 10 13	Niki Scott
54 7 4	Lucia Thompson
73 4 7	Helen Harrison
23 11 0	Elijah Mabry
85 9 13	Lila Alexander
16 6 20	Wilmer Cook
68 4 5	Jean Paul
46 4 11	Jeremy Sterling
54 6 18	Arthur Perez
60 9 13	Ashley Carr
41 1 25	Eloise Williams
49 8 12	Casey Ramirez
20 0 11	Spencer Holt
56 1 11	Mary Boyle
81 7 22	Marshall Jenkins
79 9 22	Belinda Paul
28 10 28	Calvin Williams
16 3 1	Nelson Gonzales
80 8 4	Wade Young
72 10 10	Earl Ross
63 9 28	Clarence Faison
67 1 16	Marjorie Pulliam
52 0 28	Kelly Paul
72 8 25	Val Barnes
48 10 12	Judith Hudson
66 4 9	Jackie Baumann
15 8 11	Eliana Vega
63 6 12	Annie Hubbard
55 5 22	Steve Casey
65 1 16	Treva Ramirez
31 3 12	Wilmer Mccune
61 5 10	Ashley Collins
46 6 13	Martin Webb
35 1 24	Vera Coleman
75 2 9	Oretha Lopez
12 8 17	Jose Seymore
87 2 17	Lindsay Campbell
76 11 16	Spencer Taylor
64 10 17	Collen Simpson
27 8 13	Antoinette Stokes
47 8 7	Tracy Yoon
29 7 10	Salvador Peterson
90 0 5	Gordon Platt
14 3 5	Lucia Walters
87 0 0	Nancy Mabry
59 4 2	Niki Seymore
74 0 8	Devin Washington
16 10 3	Andres Bennett
62 4 16	Patricia Griffin
42 2 24	Estelle Ruiz
89 3 4	Terence Baldwin
39 4 15	Nancy Hill
56 1 3	Myron Sullivan
23 4 17	Lynn Smith
69 4 28	Hsiu Brockman
61 9 20	Karrie Pibbles
44 1 10	Diana Vaughn
8 10 28	Jane McDaniel
31 9 20	Jackie Meyer
12 4 6	Luz Lee
78 0 19	Laura White
74 11 19	Natasha Banks
50 7 7	Inez Browne
73 3 11	Nancy Tiller
87 0 15	Brandon Whitworth
72 8 2	Kimberly Porterfield
87 9 24	Ryan Foster
72 2 15	Wade Faison
26 9 0	Martin Hughes
44 6 1	Elvina Tiller
69 11 29	Felipe Hall
70 1 30	Tammy Banks
32 0 10	Glennis Hines
23 7 13	Terence Edwards
28 3 26	Pat Scott
45 6 29	Laurence James
74 1 15	Catherine Vaughn
76 4 5	Delaine Reeves
15 5 23	Annie Medina
53 5 26	Max Williams
39 5 26	Ashley Nelson
30 6 7	Cheryl Reed
18 10 23	Spencer Ruiz
37 1 17	Jack Lopez
86 5 7	Arthur Maldonado
60 1 2	Estelle Watson
75 3 26	Sharon Martinez
48 3 28	Susan Padilla
36 2 29	Levi Taylor
10 9 9	Wanda Reeves
55 8 5	Donald Whitworth
35 0 19	Raymond Marsh
18 10 30	Johnny Lee
55 11 16	Teresa Hamilton
80 7 23	Patricia Wilkins
18 9 19	Hugh Knight
86 1 20	Jonathan Hampton
64 8 27	Jane Pulliam
89 7 4	Robin Horan
59 0 25	Jeremy Hughes
57 3 3	Norman Meyer
22 10 3	Eileen Blanton
58 10 24	Tracy Brown
13 10 13	Ella Maier
34 9 25	Lila Fortune
23 2 16	Marie Hubbard
89 3 7	Candelaria Griffin
60 4 29	Jacqueline Bryant
36 10 3	Elvina Maier
68 1 4	Ernest Sterling
24 6 0	Jeni Cook
84 2 24	Natasha Martinez
15 11 15	Jorge Roy
74 2 15	Germaine Brown
78 6 23	Jack Davis
68 4 26	Alma Russell
70 6 28	Randee Lopez
18 8 6	Ronald Anderson
13 0 4	Kevin Steadman
46 2 14	Maryalice Arevalo
24 2 30	Nicholas Browne
63 1 22	Dani Gonzalez
20 3 7	Pamala Walters
88 5 12	Jane Scott
52 2 15	Martin Miller
79 9 19	Irene Morgan
9 9 14	Jackeline Graves
59 2 4	Alice Lee
26 1 17	See Hamilton
90 3 25	Jason Collins
67 9 26	Hugh Blanton
74 8 8	Hugh Rivera
78 2 19	Joe Adams
43 9 2	Brandon Collins
75 1 26	Ivan Ruiz
85 5 5	Jacqueline Flynn
49 7 23	Judith Morris
12 1 7	Joanne Maier
82 1 10	Clarence Sanchez
38 5 25	Martin Barrett
60 6 4	Kevin Garcia
35 8 10	Arthur Whitworth
47 4 21	Santiago Jenkins
22 8 17	Jack Mccune
33 11 24	Rufus Griffin
65 1 1	Nelson Roland
23 11 18	Lonnie Olvera
20 8 26	Walter Phillips
10 9 0	Helen Flowers
10 9 13	Lillian Main
38 8 15	Valerie Hutchings
9 4 3	Johnny Russell
24 1 22	Norman Harris
50 0 21	Ryan Lopez
8 2 21	Maryalice Phillips
18 6 24	Benjamin Reed
77 4 11	Heidi Robinson
89 6 10	Yuonne Roland
82 9 3	Valerie Johnson
68 8 4	Yuonne Olvera
39 0 12	Helen Stokes
55 7 11	Doris Butler
78 9 20	Spencer Butler
81 7 15	Maryalice Hale
36 4 1	Maria Griffin
71 1 10	Elijah Harris
81 4 27	Margaret Wright
44 2 10	Alice Baker
32 0 18	Roger Wilson
83 11 22	Martin Turner
50 7 10	Sophia Neal
81 8 11	Karen Horowitz
17 5 19	Doris Reed
23 11 10	Willie Jenkins
61 10 19	Nancy Aguilar
38 2 19	Clayton Baumann
80 1 18	Cynthia Holloway
80 6 3	Anya Horan
22 5 22	Marshall Perez
14 0 19	Earnest Dean
64 8 29	Terence Barrett
46 0 13	Yuonne Morris
37 3 10	Eileen Tackett
9 11 20	Diana Graves
28 8 3	Joanne Gonzalez
17 7 1	Aubrey Knight
10 10 15	Shrimply Banks
13 6 25	David Horowitz
58 3 13	Eileen Harris
78 6 19	Dennis Knight
67 6 26	Wanda Nunez
64 9 26	Janice Dennis
51 6 13	Jane Grantham
17 0 2	Levi Wilson
65 4 6	Pat White
56 2 2	Brandon Gracia
68 5 27	Mary Lamb
19 0 21	Stephenie Bowen
40 9 29	Bryant Brown
75 3 27	Ivan White
83 3 29	Margaret Rhodes
69 6 21	Andrea Hernandez
9 5 9	Elijah Henderson
31 11 18	Jonathan Lanham
88 0 26	Eliana Ingram
63 10 14	Jeremy Collins
71 9 19	Grace Hindman
40 6 14	Anya Stokes
87 11 21	Edward Bell
23 4 27	Jean Norman
80 8 8	Christine Bowen
64 8 9	Jenifer Dean
27 7 6	Diana Price
37 9 26	Andrew Long
38 5 28	Earl Aguilar
38 7 14	Melissa Harvey
42 4 18	Delaine Bowen
47 3 11	Pamela Simpson
22 6 23	Erica Meyer
80 0 6	Ernest Hardy
58 5 1	Jacqulyn Allen
65 3 1	Inez Roberts
44 6 26	Carley Foster
58 0 24	Candelaria Whitworth
11 0 5	Wilmer Alvarado
75 11 4	Max Campbell
27 0 21	Mary Tiller
69 2 30	Marshall Powell
64 0 17	Zachary Flowers
21 9 30	Kasie Coleman
72 4 26	Timothy Dunn
39 2 11	Rebecca Rodriguez
29 7 13	Elvina Price
24 2 20	Hugh Carter
86 11 26	Kathy Garcia
23 11 10	See Arevalo
51 10 15	Yuonne Lopez
50 8 3	Steve Barrett
59 11 7	Terence Neal
21 4 3	Claudine Gray
40 5 17	Ryan Adams
71 5 2	Eloise King
66 8 8	Cynthia Duong
37 9 1	Alice Collins
86 2 27	Khadijah Garcia
15 11 23	Laurence Willis
81 9 15	Stephenie Yoon
49 3 28	Eugene Hindman
36 9 26	Hsiu Garcia
87 9 13	Jane Bailey
55 8 1	Zada Collins
66 2 7	Germaine Lewis
60 8 4	Andre Lee
8 5 15	Irene Reid
58 7 11	Wilmer Sterling
69 10 20	Shani Barrett
53 10 6	Deborah George
75 8 28	Devin Patterson
49 5 25	Nancy Hollins
39 0 8	Inez Martin
13 5 14	Barbara Townsend
81 9 12	Roy Townsend
39 11 1	Alice Harris
77 0 16	Shani Lane
76 5 23	Johnathan Aaron
86 11 22	Kevin Maier
76 7 5	Michelle Sterling
77 0 26	Kathy Hill
27 2 16	Dennis Roberts
89 8 7	Susan Tate
19 5 29	Rafael Coleman
81 1 23	Jonathan Padilla
61 3 18	Martin Caraballo
86 9 3	Alice Harris
18 10 5	Dexter King
37 5 13	Zada Neal
26 3 10	Andre Rodriguez
20 10 17	Martin Moran
18 6 29	Eliana Smith
74 11 28	Brandon Patterson
34 11 17	Brian Thompson
14 6 30	Deborah Neal
17 2 28	Nancy Howard
59 8 21	Chris Blanton
43 5 18	Kasie Collins
71 6 24	Dani Moody
74 2 28	Lonnie Holt
32 10 6	Darrin Baldwin
66 3 10	Norman Willis
45 7 13	Walter Martin
41 8 0	Zachary Green
86 7 17	Hugh Carr
45 3 28	Betty Neal
28 4 20	Donald Main
15 2 2	Marie King
22 2 23	Kathleen Blanton
10 9 28	Shrimply Phillips
21 2 11	See Cox
20 5 4	Howard Perry
63 0 27	Pamela Hampton
68 6 29	Adam Long
55 11 22	Lillian Dunn
39 6 4	Jack Ward
18 9 18	Felipe King
55 10 1	Diane Peters
23 10 18	Doris Harris
79 7 11	Katherine Webb
38 8 0	Diana Dennis
9 5 1	Christopher Davis
76 7 18	Alma Baldwin
59 4 25	Earl Perkins
28 10 19	Salvador Lewis
21 10 22	Rosie Aguilar
51 2 20	Jean Maldonado
48 5 1	Carl Johnson
81 7 3	Carley Adams
19 0 23	Yuonne Hall
26 11 26	Santiago Reid
14 1 26	Alejandro Coleman
56 11 29	Alejandro Baumann
23 10 4	Andre Cook
50 10 5	Helen Peters
32 4 15	Anthony Howard
67 1 21	Nicholas Reeves
42 6 25	Steve Watson
39 0 10	Claudine Flynn
82 1 26	Santiago Brooks
36 6 14	Kelly Bass
72 11 26	Eileen Wilkins
83 1 7	Norman Ross
24 9 22	Elijah Smith
22 11 19	Frankie Thomas
28 6 3	Maryalice Hindman
11 0 23	Luz Ross
69 7 24	Lillian Hollins
36 10 19	Teresa Porterfield
51 0 14	Bryant Hollins
26 9 11	Roy Kelly
44 10 6	Rufus Barrett
22 3 24	Donald Sanchez
90 5 8	Edward Hughes
79 4 16	Khadijah Nunez
90 6 20	Ella Thompson
79 5 6	Rafael Wilson
61 5 5	Kenneth Gonzales
46 6 26	Alycia Holloway
28 10 20	Angelika Copeland
66 6 18	Catherine Mitchell
90 3 25	Wilmer Roland
46 0 14	Maddie Weaver
64 1 22	Angelika Taylor
70 11 16	Karen Coleman
26 6 4	Wayne Torres
26 11 1	Aaron Roland
41 4 2	Patricia McDonald
56 2 18	Anna Boyle
64 5 3	Lindsay Griffin
82 5 10	Kasie Harvey
88 0 16	Eliana Anderson
77 7 27	Inez Wright
48 0 28	Laurence Webb
11 6 5	Brian Lamb
56 3 14	Deborah Jones
11 7 28	Delaine Buchanan
43 8 21	Calvin Campbell
17 4 0	Melita Griffin
20 8 10	Brandon Nelson
33 5 15	Claudine Wood
16 6 25	Valerie Rivera
43 0 6	Sherri Hamilton
69 0 15	Aida Benton
37 5 13	Khadijah Adams
74 8 11	Eloise Arevalo
84 8 27	Deborah Paul
19 3 10	Laurence Williams
36 6 26	Arthur Lamb
23 6 27	Mildred Thompson
42 11 7	Nicolette Campbell
40 8 27	Michelle Garcia
51 11 8	Roy Wood
19 9 4	Patti Turner
33 8 24	Aaron Townsend
68 9 28	Lillian Barber
58 3 2	Charles Griffin
29 8 10	Andres Foster
31 6 28	Roy Flaherty
81 3 5	Rafael Butler
49 6 30	Brandon Price
87 6 17	Dennis Hale
65 3 1	Karrie Doyle
38 3 21	Annie Ramirez
58 8 13	Arthur White
35 5 9	Jenifer Yoon
39 0 18	Alan Drake
15 9 27	Shanelle Gonzalez
20 2 13	Ken Flynn
50 9 2	Andrea Garcia
52 2 10	Joe Hutchings
21 10 29	Cheryl Hampton
18 1 19	Val Alvarado
80 8 28	Sarah Moody
9 4 2	Ken Carr
48 6 3	Ramiro Edwards
36 2 20	Cecil Moody
32 11 4	Marjorie Hernandez
73 6 19	Carl Long
62 11 9	Sophia Bryant
33 4 5	Earl Vega
54 8 14	Kenneth Rhodes
65 10 10	Casey Barber
72 5 26	Val Reid
43 7 15	Alma Hunt
30 7 24	Heidi Griffin
43 1 30	Anthony Brown
88 1 6	Alejandro Kelley
69 1 25	Pat Benton
20 11 22	Ella Moran
79 7 29	Rosie Hutchings
87 11 10	Melita Murphy
49 11 28	Christopher Perry
88 3 0	Jean Price
81 7 26	Eloise Davis
16 1 22	Earnest Bryant
14 0 16	Andrea Vega
59 4 4	Val Moran
45 11 23	Anthony George
66 9 24	Patti Horowitz
79 11 26	Ramiro Bailey
25 2 14	Zada Peterson
51 9 29	Deborah Jackson
27 0 27	Shrimply Jones
72 3 27	Ella James
34 1 12	Barbara Bowen
48 10 3	David Wagner
28 4 10	Raymond McDonald
58 10 7	Yuonne Archer
17 4 0	Fred Dean
54 2 17	Adam Hunt
57 3 18	Kevin Baldwin
13 5 18	Darrin Bailey
28 7 15	Zachary Evans
24 4 2	Pamala Wagner
73 5 20	Santiago Browne
45 4 22	Pamela Peters
54 4 20	Patti Weaver
34 10 28	Dexter Sullivan
24 1 18	Andrew Flowers
20 6 17	Jacqulyn Wagner
48 8 0	Deborah Stokes
47 6 28	Gregory Hubbard
79 8 24	Benjamin Lopez
17 8 17	Annie Foster
44 9 9	Herma Mabry
53 5 13	Pamela Brockman
54 7 26	Ernest Peterson
40 10 21	Marshall Bell
29 11 10	Rachel Marsh
77 5 9	Anthony King
46 10 17	Carl Gracia
43 11 26	Catherine Coleman
76 5 29	Dexter Carr
34 10 6	Germaine Harvey
27 4 14	David Medina
33 5 4	Marjorie Wilson
64 8 26	Timothy Buchanan
8 10 6	Jonathan Vega
26 8 7	Catherine Hill
13 1 16	Dennis Dean
53 8 17	Zachary Harrison
19 4 18	Patti McDonald
33 2 10	Earnest Reed
52 2 12	Aubrey Lanham
76 10 1	Lillian Foster
64 3 1	Krissy Fortune
78 2 1	Eileen Tiller
24 1 12	Rose Bowling
8 10 30	Cecil Faison
32 4 18	Max Casey
71 7 14	Ashley Price
11 8 30	Amanda Graves
15 11 20	Terrell Jackson
75 0 7	Amanda Davis
14 6 20	Howard Sherman
22 4 17	Brian Norman
10 9 22	Levi Bennett
87 5 15	Ivan King
89 5 27	Zachary Tate
9 7 19	Dennis Steadman
72 5 15	Nancy Reyes
36 10 14	Pamala Moody
66 5 10	Jack Buchanan
33 10 14	Eliana Steadman
66 5 10	Gerard Franklin
37 5 7	Ken Carter
39 7 18	Samual Hamilton
90 6 21	Yuonne Medina
9 0 1	Margaret Rogers
84 9 11	Cheryl Murphy
14 6 30	Maria Seymore
58 10 4	Lindsay Butler
75 2 15	Rosie Gonzalez
12 1 5	Ryan Horan
52 2 23	Pat Young
40 5 22	Lillian Flores
66 7 11	Dwayne Roland
53 0 28	Treva Griffin
20 1 26	Amanda Mitchell
45 2 13	Steve Hampton
90 1 30	Nicolette Boyle
74 11 11	Lindsay Pulliam
74 3 22	Charlene Neal
51 11 24	Angie Hughes
83 1 22	Candelaria Clark
40 3 28	Kathy Webb
8 3 9	Jackeline Knight
71 2 21	Jane Price
90 3 29	Randee Henderson
37 7 22	Treva Cooper
87 0 26	Ramiro Hernandez
58 10 2	Maria Harris
28 6 29	Alycia Rodriguez
57 5 25	Diane Aguilar
23 9 20	Lindsey Bryant
68 9 24	Melita Huddleston
90 10 29	Mary Bowling
67 9 15	Annie Phillips
16 5 21	Sherri Brown
35 1 10	Angelika Wheeler
28 0 20	Treva Rogers
69 3 2	Kathleen Henderson
40 10 12	Josphine Sanders
65 11 18	Christine Wheeler
68 8 5	Myron Long
81 9 17	Karen Walters
87 0 25	Casey Price
90 3 2	Hugh White
82 3 5	Andrea Sherman
39 3 25	Maria Hampton
25 8 14	Lillian McDonald
38 0 7	Alycia Evans
43 4 7	Josphine Wood
32 3 22	Alice Archer
15 5 30	Alma Patterson
16 0 26	Wayne McDonald
67 0 14	Nicholas Buchanan
41 8 29	Khadijah Hunt
14 0 18	Rachel Moore
11 6 2	Stephenie Taylor
32 2 14	Joanne Vaughn
43 7 16	Earl Sherman
15 6 17	Fred Vaughn
17 1 9	Dexter Reed
69 6 11	Treva Peters
33 5 17	Ashley Perez
37 1 26	Janet Hughes
60 1 30	Willie Howard
65 10 5	Jeremy Neal
69 5 16	Jack Harris
15 2 7	Alma Padilla
33 2 15	Terence Harrington
71 5 15	Dani Doyle
15 10 20	Ivan Reyes
11 7 24	Gordon Pibbles
45 0 11	Hugh Tackett
43 6 30	Jose Doyle
54 3 26	Wayne Hernandez
63 6 29	Johnny Rivera
53 11 9	Nicholas Scott
52 9 0	Mildred Allen
27 4 29	Delaine Campbell
24 8 15	Jane Copeland
42 10 11	Nicholas Hampton
52 5 3	Ashley Scott
28 6 22	Melissa Taylor
90 6 16	Norman Ruiz
15 8 16	Diana Murphy
20 10 28	Jonathan Murphy
49 6 27	Dorothy Jones
23 5 30	Jeni Caraballo
72 2 4	Benjamin Williams
30 9 22	Jonathan Faison
39 9 21	Rebecca Neal
86 3 16	Calvin Fleming
10 9 29	Karen Brooks
82 6 30	Angel Bennett
83 3 17	Karrie Young
52 1 7	David Collins
55 2 30	Diana McDaniel
75 2 6	Aubrey Allen
18 3 15	Collen Doyle
36 4 26	Eugenia Gracia
37 6 15	Grace Stokes
9 1 24	Judith Platt
84 7 27	Andrea Carr
74 11 15	Pamala Moody
33 6 3	Johnathan Davis
80 11 3	Kathy Allen
64 9 19	Karen Watson
77 9 5	Stephenie Horowitz
9 8 1	Donald Collins
78 7 7	Lillian Rhodes
11 10 2	Martin Coleman
57 0 28	Joanne Sanders
26 5 4	Timothy Jones
79 4 30	Marshall Reed
89 7 12	Dawne Baker
53 9 14	Natasha Gonzalez
48 8 14	Melita Jones
57 9 10	Kathleen Robinson
17 4 6	Nancy Hampton
81 1 24	Glennis Bailey
11 2 30	Delaine Butler
85 9 15	Clayton Jackson
40 7 5	Robin Horan
87 3 4	Elijah Kelley
90 6 12	Ryan Anderson
55 5 2	Shrimply Robinson
89 11 4	Brian Baumann
44 5 29	Kathleen Wright
11 11 9	Nicholas Jackson
9 7 2	Samual Wilson
36 11 18	Martha Hindman
24 2 1	Rose Hamilton
35 1 21	Andrew Flaherty
74 2 29	Carl Rivera
15 11 24	Laura Green
54 10 19	Eugene Norman
86 6 18	Nancy Barth
39 6 21	Alice Tiller
80 0 12	Oretha Perez
47 10 19	Wanda Reed
46 4 8	Wilmer Washington
12 5 13	Amanda Maldonado
35 8 5	Jackeline Wheeler
28 7 22	Brandon Moody
12 9 0	Aubrey Morgan
78 5 8	Maddie Neal
8 9 27	Earnest Coleman
13 3 29	Zada Medina
13 0 8	Maryalice Ball
29 5 16	Wanda Barnes
27 4 3	Brandon Porterfield
65 11 30	Ivan Butler
26 9 12	Alma Doyle
80 4 30	Martin Hutchings
65 4 20	Nicholas Archer
36 0 22	Joe Washington
43 2 27	Christine Fortune
46 9 13	Donald Olvera
75 8 1	Dorothy Hollins
37 7 19	Rachel Walker
72 0 14	Kim Russell
34 8 2	Anthony Allen
33 8 24	Michelle Wright
24 4 13	Aubrey Carvalho
44 7 3	Alma Fenton
19 11 23	Donald Fenton
65 10 7	Jeremy Watson
35 6 9	Frankie Pibbles
35 4 20	Lindsay Evans
74 6 29	Aubrey Franklin
14 8 26	Johnathan Lamb
45 2 28	Willie Harrison
68 10 11	Wanda Dean
34 2 29	Oretha Powell
50 8 16	Ramiro Hampton
19 9 21	Aubrey Vargas
52 1 19	Andres Brown
82 0 15	Hsiu Huddleston
50 8 3	Kim Dunn
41 6 3	Mary Garcia
86 2 0	Eliana Thompson
47 10 25	Janice Fleming
61 4 28	Alan Tate
48 6 21	Dawne Rogers
40 4 6	Carley Archer
75 1 20	Anna Hollins
37 1 4	Stephenie Hindman
86 7 24	Kelly Payne
21 7 20	Wayne Dean
79 0 17	Cheryl Mitchell
75 7 9	Jackeline Diaz
89 6 18	Joe Peters
49 8 22	Kathy Moore
85 5 7	Glennis Bennett
86 7 27	Grace Henderson
31 1 18	Diana Steadman
89 7 8	Ronald Platt
69 7 23	Steve Gracia
25 6 29	Pat Powell
58 2 29	Ella Anderson
56 0 17	Eugene Watson
70 8 2	Luz Green
10 1 1	Ronald Sullivan
21 8 23	Dawne Green
76 5 0	Doris Griffin
39 8 29	Marie Walters
31 4 1	Shrimply Ball
14 8 0	Zada Platt
61 0 28	Levi Medina
29 4 9	Grace Griffin
27 11 25	Pamala Taylor
69 8 14	Lonnie Allen
36 1 30	Bobby Platt
38 2 4	Richard Barrett
87 8 24	Claudine Russell
15 6 25	Jeni Horowitz
57 0 2	Wanda Sanchez
26 5 12	David Long
50 0 29	Jorge Henderson
77 9 16	Eileen Blanton
65 0 21	Ronald Sanders
33 9 28	Jenifer Lee
49 2 11	Bryant Sterling
76 0 24	Pamela Townsend
61 11 27	Oretha Alexander
37 7 9	Gary Foster
30 4 9	Nancy Padilla
59 8 3	Krissy Rhodes
17 10 1	Marie Sterling
26 7 20	Michelle Mitchell
87 9 1	Lynn Grantham
21 1 8	Patricia Foster
53 2 2	Nicholas Bryant
86 5 29	Edward Lindsey
64 7 14	Brian Moore
27 1 20	Niki Padilla
78 7 5	Gordon Patterson
56 11 9	Kelly Taylor
25 10 13	Kasie Bennett
47 0 15	Delaine Long
84 5 20	Dennis Adams
46 11 2	Stephenie Knight
10 10 18	Ryan Harris
60 11 9	Lucia Neal
55 10 15	Arthur Davis
57 10 17	Marion Knight
49 5 15	Karrie Aaron
69 3 21	Kim Reddick
55 9 8	Calvin Hunt
67 5 23	Ashley Russell
21 5 1	Heidi Stewart
29 11 23	Khadijah Mabry
14 2 25	Adam Townsend
45 1 21	Myron Shuman
59 2 30	Joanne Hines
68 4 22	Ernest Fleming
88 2 6	Janet Nelson
57 8 23	Gary Coleman
80 3 16	Natasha Scott
28 3 28	Nancy Perez
24 6 9	Susan Bass
47 0 30	Brian Carter
14 8 1	Wayne Wagner
28 1 12	Timothy Phillips
65 8 6	Cecil Flowers
16 1 7	Lynn Drake
74 4 27	Jeremy Mitchell
84 4 21	Laurence Yoon
57 2 2	Glennis Ruiz
10 9 26	Andre Edwards
29 8 28	Stephenie Dennis
9 5 13	Benjamin Main
72 3 29	Spencer Lindsey
85 9 12	Deborah Hudson
17 2 9	Belinda Griffin
90 6 4	Donald Sullivan
29 11 25	Cecil Williams
64 10 0	Timmy Thomas
67 8 9	Niki Paul
16 10 9	Shani Smith
24 0 27	Eloise Carter
32 0 13	Jean Flowers
85 7 15	Fred Ingram
13 6 22	Howard Jones
77 5 7	Kenneth Brockman
73 8 21	Lindsey Lamb
20 4 3	Lucia Bailey
36 1 25	Andrea Padilla
63 9 28	Amanda Roland
62 5 8	Lila Carvalho
82 2 22	Lonnie Smith
78 5 17	Anya Hindman
23 9 24	Barbara Horowitz
54 10 2	Wilson Rodriguez
38 0 18	Carley Carvalho
90 4 9	Zada Robinson
75 3 30	Rose Marsh
55 8 11	Rafael Wilkins
58 2 12	Andrew Long
46 1 20	Vera Holland
62 9 12	Ronald Grantham
86 3 15	Shrimply Gonzales
55 3 4	Wayne Payne
72 5 4	Gordon McDaniel
24 4 7	Mildred Cox
24 4 3	Dawne Coleman
74 0 14	Andrew Mabry
45 5 28	Natasha Miller
74 5 30	Joanne Robinson
19 5 11	Randee Orosco
27 2 13	Lindsey Pulliam
69 9 13	Grace Hall
17 2 5	Lonnie Lee
84 6 0	Mildred Butler
81 8 10	See Ingram
73 10 9	Helen Moore
50 4 3	Alice Fleming
72 0 28	Steve Carvalho
49 2 30	Walter Franklin
88 7 15	Chris Hernandez
63 5 0	Nicholas Williams
44 4 30	Bryant Tiller
29 3 6	Richard Harris
25 6 19	Delaine Sterling
80 3 17	Nicholas Gonzalez
41 5 18	Niki Tate
80 1 8	Terrell Lindsey
89 4 7	Kenneth Lindsey
34 6 28	Amanda McDonald
76 6 6	Samual Carter
24 7 12	Salvador Wheeler
43 11 2	Melita Baumann
80 10 26	Spencer Harris
54 11 1	Dwayne Stewart
13 5 19	Jacqueline Weaver
49 4 4	Natalie Platt
63 6 5	Germaine Flores
49 3 11	Ashley Stewart
31 10 18	Susan Rivera
40 1 18	Betty Lanham
75 6 19	Karrie Peters
67 9 25	Doris Torres
